direction,entry_time,entry_price,exit_time,exit_price,exit_reason,qty,pnl,fees,r_value,win
long,2026-03-17 07:22:00+00:00,5014.5,2026-03-17 07:27:00+00:00,5021.000139508929,full_2r,15.384285193052905,64.19452026592107,10.805479734078931,3.2500697544646755,True
long,2026-03-17 10:01:00+00:00,5017.5,2026-03-17 10:06:00+00:00,5011.342738560268,stop_loss,8.172622373416846,-56.058308719454175,5.73733611812457,6.157261439731883,False
short,2026-03-17 10:32:00+00:00,5011.2998046875,2026-03-17 10:42:00+00:00,5000.970772879464,full_2r,9.689326548263601,68.26841902466822,6.7926025619302886,5.164515904018117,True
long,2026-03-17 13:01:00+00:00,5019.7001953125,2026-03-17 13:40:00+00:00,5033.672154017857,full_2r,7.211876905066874,70.49954022960173,5.073494499681795,6.9859793526784415,True
short,2026-03-18 14:10:00+00:00,4888.89990234375,2026-03-18 16:45:00+00:00,4888.89990234375,stop_be,3.1652291398052665,23.202607754683193,2.164652672318648,16.02870396205344,True
short,2026-03-19 14:03:00+00:00,4638.7998046875,2026-03-19 14:27:00+00:00,4600.513602120536,full_2r,2.656337295600833,74.55602977530198,1.7197710638636756,19.143101283481883,True
long,2026-03-20 08:57:00+00:00,4696.60009765625,2026-03-20 09:34:00+00:00,4679.678815569197,stop_loss,3.027153248679946,-53.21015436374258,1.9868403220889779,16.92128208705344,False
short,2026-03-20 15:03:00+00:00,4570.39990234375,2026-03-20 15:31:00+00:00,4570.39990234375,stop_be,2.5217503123568346,23.866858105745553,1.611773529171895,20.207101004464675,True
short,2026-03-23 09:24:00+00:00,4290.2001953125,2026-03-23 09:39:00+00:00,4248.02880859375,full_2r,2.4223342666440817,75.16533753114767,1.4495588093977656,21.085693359375,True
long,2026-03-23 11:49:00+00:00,4395.2998046875,2026-03-23 12:01:00+00:00,4363.249895368303,stop_loss,1.6053843939334176,-52.43668297815655,0.9842587301371861,32.04990931919656,False
long,2026-03-23 13:31:00+00:00,4416.39990234375,2026-03-23 13:53:00+00:00,4463.456821986607,full_2r,2.175673257903065,75.4347762314825,1.350585018210379,23.52845982142844,True
long,2026-03-23 14:46:00+00:00,4480.2001953125,2026-03-23 14:50:00+00:00,4460.592843191965,stop_loss,2.630004010601615,-53.21341722273179,1.6460025084458019,19.607352120535325,False
long,2026-03-24 12:26:00+00:00,4403.5,2026-03-24 12:33:00+00:00,4390.306989397322,stop_loss,3.8885247024479113,-53.69499312765046,2.393645499478141,13.193010602678442,False
long,2026-03-25 07:59:00+00:00,4539.0,2026-03-25 08:08:00+00:00,4549.485142299107,full_2r,9.73432142487585,70.35817864951994,6.191130344281174,5.2425711495534415,True
long,2026-03-25 13:53:00+00:00,4547.60009765625,2026-03-25 14:00:00+00:00,4533.428466796875,stop_loss,3.6258821631519584,-53.68953532042635,2.3048717646446812,14.171630859375,False
short,2026-03-26 11:43:00+00:00,4441.39990234375,2026-03-26 11:50:00+00:00,4418.885184151786,full_2r,4.540693376071176,73.85630610504887,2.8180177137204465,11.257359095981883,True
long,2026-03-27 11:02:00+00:00,4442.2001953125,2026-03-27 11:07:00+00:00,4434.664202008928,stop_loss,6.831945748320144,-55.7307353281434,4.245237918438621,7.5359933035715585,False
long,2026-03-30 08:21:00+00:00,4560.5,2026-03-30 08:23:00+00:00,4556.08576311384,stop_loss,11.600384178205212,-58.609756540261436,7.402912807197366,4.4142368861603245,False
long,2026-03-30 09:18:00+00:00,4557.5,2026-03-30 10:26:00+00:00,4557.5,stop_be,5.1725432509159255,22.154774271111215,3.3021232040701687,9.843087332589675,True
long,2026-03-30 10:49:00+00:00,4560.7998046875,2026-03-30 11:02:00+00:00,4555.793073381697,stop_loss,10.191193756008902,-57.528196330772104,6.50362750905378,5.0067313058034415,False
long,2026-03-30 11:05:00+00:00,4558.0,2026-03-30 11:18:00+00:00,4571.342982700893,full_2r,7.605035392374204,71.24713919809165,4.858252562005034,6.6714913504465585,True
