entry_ts,exit_ts,dir,entry,exit,entry_price,exit_price,entry_signal_price,exit_signal_price,stop_price,stop_price_initial,stop_price_exit,initial_risk_price,r_value,fees,pnl,win,exit_reason,qty,be_triggered,confidence_mult,regime,_week
2023-01-06 15:30:00,2023-01-06 16:30:00,long,10771.1,10782.795958551738,10771.1,10782.795958551738,10771.1,10782.795958551738,10782.795958551738,10613.779922284508,10782.795958551738,157.32007771549252,0.07434498330778629,0.0,46.83733948390535,True,stop,4.004574680793963,False,1.5,bull,2023-01-02/2023-01-08
2023-01-06 17:00:00,2023-01-06 21:10:00,long,10758.8,11007.755287559456,10758.8,11007.755287559456,10758.8,11007.755287559456,10920.864497411505,10567.295932646572,10920.864497411505,191.50406735342767,1.300000000000002,0.0,820.5343912414937,True,tp,3.2959106805294542,True,1.5,bull,2023-01-02/2023-01-08
2023-01-10 15:05:00,2023-01-10 16:30:00,long,11048.6,11081.841263675067,11048.6,11081.841263675067,11048.6,11081.841263675067,11081.841263675067,10898.86486939075,11081.841263675067,149.7351306092496,0.22200043196151228,0.0,144.71270598783724,True,stop,4.353405676823931,False,1.5,bull,2023-01-09/2023-01-15
2023-01-10 15:50:00,2023-01-10 16:30:00,long,11042.7,11081.841263675067,11042.7,11081.841263675067,11042.7,11081.841263675067,11081.841263675067,10892.964869390751,11081.841263675067,149.7351306092496,0.26140334279475114,0.0,113.59853298739792,True,stop,2.902270451215954,False,1.0,bull,2023-01-09/2023-01-15
2023-01-10 16:25:00,2023-01-10 16:30:00,long,11064.6,11074.814428518392,11064.6,11074.814428518392,11064.6,11074.814428518392,11074.814428518392,10901.689553471984,11074.814428518392,162.9104465280161,0.0626996533131145,0.0,40.871256038876105,True,stop,4.00132576827833,False,1.5,bull,2023-01-09/2023-01-15
2023-01-10 17:40:00,2023-01-11 16:30:00,long,11053.8,11265.58358048642,11053.8,11265.58358048642,11053.8,11265.58358048642,11161.114428518391,10890.889553471983,11161.114428518391,162.9104465280161,1.299999999999999,0.0,571.4775442901504,True,tp,2.6984034502466665,True,1.0,bull,2023-01-09/2023-01-15
2023-01-13 15:05:00,2023-01-13 17:05:00,short,11328.3,11402.70038998079,11328.3,11402.70038998079,11328.3,11402.70038998079,11402.70038998079,11474.550731213978,11402.70038998079,146.25073121397872,-0.5087180717882053,0.0,-171.3867115648119,False,stop,2.303572758275363,False,1.5,bull,2023-01-09/2023-01-15
2023-01-13 15:25:00,2023-01-13 17:25:00,short,11324.7,11407.900389980789,11324.7,11407.900389980789,11324.7,11407.900389980789,11407.900389980789,11470.95073121398,11407.900389980789,146.25073121397872,-0.5688887111207515,0.0,-127.77210122508617,False,stop,1.5357151721835756,False,1.0,bull,2023-01-09/2023-01-15
2023-01-18 17:15:00,2023-01-18 20:05:00,short,11623.0,11432.449777250871,11623.0,11432.449777250871,11623.0,11432.449777250871,11500.474450358615,11769.577094422406,11500.474450358615,146.57709442240593,1.3000000000000076,0.0,433.0687390395898,True,tp,2.272727540233588,True,1.5,bull,2023-01-16/2023-01-22
2023-01-18 17:35:00,2023-01-19 02:05:00,short,11588.4,11397.84977725087,11588.4,11397.84977725087,11588.4,11397.84977725087,11472.974450358615,11734.977094422406,11472.974450358615,146.57709442240593,1.3000000000000074,0.0,288.71249269305986,True,tp,1.5151516934890588,True,1.0,bull,2023-01-16/2023-01-22
2023-01-18 20:40:00,2023-01-19 02:05:00,long,11455.4,11399.410143022531,11455.4,11399.410143022531,11455.4,11399.410143022531,11399.410143022531,11313.106518167247,11399.410143022531,142.29348183275215,-0.3934815302592539,0.0,-222.04586753347846,False,stop,3.9658230886861126,False,1.5,bull,2023-01-16/2023-01-22
2023-01-18 17:55:00,2023-01-19 11:40:00,short,11549.5,11358.949777250871,11549.5,11358.949777250871,11549.5,11358.949777250871,11436.274450358616,11696.077094422406,11436.274450358616,146.57709442240593,1.3000000000000074,0.0,288.71249269305986,True,tp,1.5151516934890588,True,1.0,bull,2023-01-16/2023-01-22
2023-01-19 20:00:00,2023-01-19 22:50:00,long,11315.0,11307.89360808669,11315.0,11307.89360808669,11315.0,11307.89360808669,11307.89360808669,11182.425515162542,11307.89360808669,132.57448483745793,-0.05360301359664369,0.0,-30.648795403802033,False,stop,4.312849020667825,False,1.5,bull,2023-01-16/2023-01-22
2023-01-19 20:20:00,2023-01-19 22:50:00,long,11310.3,11307.89360808669,11310.3,11307.89360808669,11310.3,11307.89360808669,11307.89360808669,11177.725515162541,11307.89360808669,132.57448483745793,-0.018151244685279396,0.0,-6.918936671106747,False,stop,2.8752326804452166,False,1.0,bull,2023-01-16/2023-01-22
2023-01-19 20:50:00,2023-01-19 22:50:00,long,11329.1,11307.89360808669,11329.1,11307.89360808669,11329.1,11307.89360808669,11307.89360808669,11196.525515162542,11307.89360808669,132.57448483745793,-0.15995832033072283,0.0,-60.973311063479954,False,stop,2.8752326804452166,False,1.0,bull,2023-01-16/2023-01-22
2023-01-20 13:00:00,2023-01-20 16:35:00,long,11334.8,11321.73480455435,11334.8,11321.73480455435,11334.8,11321.73480455435,11321.73480455435,11226.490258539405,11321.73480455435,108.30974146059452,-0.1206280734259089,0.0,-68.7223412015853,False,stop,5.259955083524382,False,1.5,bull,2023-01-16/2023-01-22
2023-01-20 16:30:00,2023-01-20 20:35:00,long,11330.8,11497.470975378938,11330.8,11497.470975378938,11330.8,11497.470975378938,11440.822163947103,11202.591557400816,11440.822163947103,128.2084425991834,1.2999999999999985,0.0,888.7388252977494,True,tp,5.332295099834503,True,1.5,bull,2023-01-16/2023-01-22
2023-01-20 18:00:00,2023-01-20 22:10:00,long,11433.6,11600.270975378939,11433.6,11600.270975378939,11433.6,11600.270975378939,11542.522163947102,11305.391557400817,11542.522163947102,128.2084425991834,1.2999999999999987,0.0,492.4930452222142,True,tp,2.9548818809183572,True,1.0,bull,2023-01-16/2023-01-22
2023-01-20 18:20:00,2023-01-20 22:15:00,long,11449.9,11616.570975378938,11449.9,11616.570975378938,11449.9,11616.570975378938,11542.522163947102,11321.691557400816,11542.522163947102,128.2084425991834,1.2999999999999987,0.0,492.4930452222142,True,tp,2.9548818809183572,True,1.0,bull,2023-01-16/2023-01-22
2023-01-25 13:00:00,2023-01-25 18:10:00,short,11703.3,11629.539404935647,11703.3,11629.539404935647,11703.3,11629.539404935647,11629.539404935647,11837.623884254339,11629.539404935647,134.32388425433965,0.5491249413595553,0.0,166.82674610491682,True,stop,2.261732649517943,True,1.5,bull,2023-01-23/2023-01-29
2023-01-25 13:20:00,2023-01-25 18:10:00,short,11708.4,11629.539404935647,11708.4,11629.539404935647,11708.4,11629.539404935647,11629.539404935647,11842.72388425434,11629.539404935647,134.32388425433965,0.5870928725901889,0.0,118.90772174497276,True,stop,1.507821766345295,True,1.0,bull,2023-01-23/2023-01-29
2023-01-25 13:40:00,2023-01-25 18:10:00,short,11700.3,11629.539404935647,11700.3,11629.539404935647,11700.3,11629.539404935647,11629.539404935647,11834.623884254339,11629.539404935647,134.32388425433965,0.5267908641650665,0.0,106.69436543757531,True,stop,1.507821766345295,True,1.0,bull,2023-01-23/2023-01-29
2023-01-25 18:10:00,2023-01-25 20:25:00,short,11644.2,11747.082150944228,11644.2,11747.082150944228,11644.2,11747.082150944228,11747.082150944228,11797.354033020429,11747.082150944228,153.15403302042796,-0.6717560675043089,0.0,-206.85063311100453,False,stop,2.0105589863020836,False,1.5,bull,2023-01-23/2023-01-29
2023-01-25 18:30:00,2023-01-25 20:30:00,short,11678.2,11755.78215094423,11678.2,11755.78215094423,11678.2,11755.78215094423,11755.78215094423,11831.354033020429,11755.78215094423,153.15403302042796,-0.5065628988946079,0.0,-103.9889938383755,False,stop,1.3403726575347223,False,1.0,bull,2023-01-23/2023-01-29
2023-01-25 19:30:00,2023-01-25 21:30:00,short,11675.5,11768.182150944229,11675.5,11768.182150944229,11675.5,11768.182150944229,11768.182150944229,11828.654033020428,11768.182150944229,153.15403302042796,-0.605156450120166,0.0,-124.2286209671503,False,stop,1.3403726575347223,False,1.0,bull,2023-01-23/2023-01-29
2023-01-30 16:35:00,2023-01-30 18:30:00,short,12036.8,12015.989805954601,12036.8,12015.989805954601,12036.8,12015.989805954601,12015.989805954601,12178.343386164875,12015.989805954601,141.5433861648762,0.14702342941801147,0.0,53.52070391019591,True,stop,2.5718503053570285,False,1.5,bull,2023-01-30/2023-02-05
2023-01-30 17:35:00,2023-01-31 15:30:00,short,11955.8,11894.089805954602,11955.8,11894.089805954602,11955.8,11894.089805954602,11894.089805954602,12097.343386164875,11894.089805954602,141.5433861648762,0.43598076686899945,0.0,105.8062542661983,True,stop,1.714566870238019,True,1.0,bull,2023-01-30/2023-02-05
2023-01-30 18:00:00,2023-01-31 15:30:00,short,11964.3,11894.089805954602,11964.3,11894.089805954602,11964.3,11894.089805954602,11894.089805954602,12105.843386164875,11894.089805954602,141.5433861648762,0.4960330252634596,0.0,100.31672721935122,True,stop,1.4288057251983493,True,1.0,bull,2023-01-30/2023-02-05
2023-01-30 20:00:00,2023-01-31 15:30:00,short,11968.5,11894.285831827321,11968.5,11894.285831827321,11968.5,11894.285831827321,11894.285831827321,12110.410934676225,11894.285831827321,141.91093467622522,0.5229630002931144,0.0,158.93837543784932,True,stop,2.14161769041239,True,1.5,bull,2023-01-30/2023-02-05
2023-01-31 15:45:00,2023-02-01 17:50:00,long,11941.2,12040.616112931948,11941.2,12040.616112931948,11941.2,12040.616112931948,12040.616112931948,11804.355211747405,12040.616112931948,136.84478825259612,0.7264881198722688,0.0,536.5878084811823,True,stop,5.397392763167973,True,1.5,bull,2023-01-30/2023-02-05
2023-01-31 16:05:00,2023-02-01 17:55:00,long,11949.6,12036.864631207689,11949.6,12036.864631207689,11949.6,12036.864631207689,12036.864631207689,11805.721183514417,12036.864631207689,143.87881648558323,0.606514797238637,0.0,447.9749041442126,True,stop,5.133522000202335,True,1.5,bull,2023-01-30/2023-02-05
2023-01-31 16:30:00,2023-02-01 17:55:00,long,11968.6,12036.864631207689,11968.6,12036.864631207689,11968.6,12036.864631207689,12036.864631207689,11824.721183514417,12036.864631207689,143.87881648558323,0.47445922113578654,0.0,233.62532409357883,True,stop,3.4223480001348903,True,1.0,bull,2023-01-30/2023-02-05
2023-02-06 14:35:00,2023-02-06 17:20:00,long,12474.8,12440.688737413222,12474.8,12440.688737413222,12474.8,12440.688737413222,12440.688737413222,12291.216382649789,12440.688737413222,183.58361735021026,-0.18580777020917635,0.0,-142.9425509137262,False,stop,4.1904796267827376,False,1.5,bull,2023-02-06/2023-02-12
2023-02-06 14:55:00,2023-02-06 17:20:00,long,12477.1,12440.688737413222,12477.1,12440.688737413222,12477.1,12440.688737413222,12440.688737413222,12293.51638264979,12440.688737413222,183.58361735021026,-0.19833612123089922,0.0,-101.72043603688738,False,stop,2.793653084521825,False,1.0,bull,2023-02-06/2023-02-12
2023-02-06 15:15:00,2023-02-06 17:20:00,long,12479.7,12440.688737413222,12479.7,12440.688737413222,12479.7,12440.688737413222,12440.688737413222,12296.11638264979,12440.688737413222,183.58361735021026,-0.21249860499458123,0.0,-108.98393405664514,False,stop,2.793653084521825,False,1.0,bull,2023-02-06/2023-02-12
2023-02-06 19:00:00,2023-02-07 19:55:00,long,12482.3,12728.21554221457,12482.3,12728.21554221457,12482.3,12728.21554221457,12597.811572424793,12293.134198296484,12597.811572424793,189.16580170351517,1.3000000000000038,0.0,823.7574647333994,True,tp,3.349757633515658,True,1.5,bull,2023-02-06/2023-02-12
2023-02-06 19:20:00,2023-02-07 19:55:00,long,12485.6,12731.51554221457,12485.6,12731.51554221457,12485.6,12731.51554221457,12597.811572424793,12296.434198296485,12597.811572424793,189.16580170351517,1.3000000000000038,0.0,549.1716431555996,True,tp,2.2331717556771054,True,1.0,bull,2023-02-06/2023-02-12
2023-02-06 19:40:00,2023-02-07 20:15:00,long,12495.1,12597.811572424793,12495.1,12597.811572424793,12495.1,12597.811572424793,12597.811572424793,12305.934198296485,12597.811572424793,189.16580170351517,0.5429711475321269,0.0,229.3725825202298,True,stop,2.2331717556771054,True,1.0,bull,2023-02-06/2023-02-12
2023-02-07 20:45:00,2023-02-07 22:45:00,long,12430.5,12735.04504324416,12430.5,12735.04504324416,12430.5,12735.04504324416,12602.058443797268,12196.234582119878,12602.058443797268,234.2654178801222,1.3000000000000023,0.0,578.333533921047,True,tp,1.8990081984601086,True,1.0,bull,2023-02-06/2023-02-12
2023-02-07 20:25:00,2023-02-08 16:30:00,long,12503.5,12648.358443797268,12503.5,12648.358443797268,12503.5,12648.358443797268,12648.358443797268,12269.234582119878,12648.358443797268,234.2654178801222,0.6183518041548682,0.0,412.63105858077625,True,stop,2.8485122976901627,True,1.5,bull,2023-02-06/2023-02-12
2023-02-08 17:30:00,2023-02-09 10:00:00,short,12569.0,12577.210211854723,12569.0,12577.210211854723,12569.0,12577.210211854723,12577.210211854723,12766.644147227607,12577.210211854723,197.6441472276074,-0.0415403743034588,0.0,-17.15081206225371,False,stop,2.088960962972973,False,1.5,bull,2023-02-06/2023-02-12
2023-02-08 17:50:00,2023-02-09 10:00:00,short,12580.5,12577.210211854723,12580.5,12577.210211854723,12580.5,12577.210211854723,12577.210211854723,12778.144147227607,12577.210211854723,197.6441472276074,0.016645006651721108,0.0,4.581492674623653,True,stop,1.3926406419819821,False,1.0,bull,2023-02-06/2023-02-12
2023-02-08 18:15:00,2023-02-09 10:00:00,short,12546.3,12577.210211854723,12546.3,12577.210211854723,12546.3,12577.210211854723,12577.210211854723,12743.944147227607,12577.210211854723,197.6441472276074,-0.1563932567106437,0.0,-35.87234773430096,False,stop,1.1605338683183184,False,1.0,bull,2023-02-06/2023-02-12
2023-02-09 17:25:00,2023-02-09 22:30:00,short,12575.5,12341.901520000332,12575.5,12341.901520000332,12575.5,12341.901520000332,12430.735273846018,12755.191138461281,12430.735273846018,179.6911384612813,1.3000000000000111,0.0,535.9387060466686,True,tp,2.29427308793889,True,1.5,bull,2023-02-06/2023-02-12
2023-02-09 18:00:00,2023-02-09 22:35:00,short,12560.1,12326.501520000333,12560.1,12326.501520000333,12560.1,12326.501520000333,12430.735273846018,12739.791138461282,12430.735273846018,179.6911384612813,1.3000000000000111,0.0,297.7437255814826,True,tp,1.27459615996605,True,1.0,bull,2023-02-06/2023-02-12
2023-02-09 18:25:00,2023-02-10 11:50:00,short,12535.9,12302.301520000332,12535.9,12302.301520000332,12535.9,12302.301520000332,12397.335273846018,12715.591138461281,12397.335273846018,179.6911384612813,1.3000000000000111,0.0,297.7437255814826,True,tp,1.27459615996605,True,1.0,bull,2023-02-06/2023-02-12
2023-02-13 13:05:00,2023-02-13 16:35:00,long,12347.1,12312.010300079144,12347.1,12312.010300079144,12347.1,12312.010300079144,12312.010300079144,12208.556812648398,12312.010300079144,138.54318735160268,-0.2532762569681872,0.0,-180.04417645029073,False,stop,5.130969397184218,False,1.5,bull,2023-02-13/2023-02-19
2023-02-13 13:25:00,2023-02-13 16:35:00,long,12347.5,12312.010300079144,12347.5,12312.010300079144,12347.5,12312.010300079144,12312.010300079144,12208.956812648397,12312.010300079144,138.54318735160268,-0.2561634433224645,0.0,-121.39770947277505,False,stop,3.420646264789479,False,1.0,bull,2023-02-13/2023-02-19
2023-02-13 13:45:00,2023-02-13 16:35:00,long,12346.9,12312.010300079144,12346.9,12312.010300079144,12346.9,12312.010300079144,12312.010300079144,12208.356812648397,12312.010300079144,138.54318735160268,-0.25183266379104197,0.0,-119.34532171390012,False,stop,3.420646264789479,False,1.0,bull,2023-02-13/2023-02-19
