entry_ts,exit_ts,dir,entry,exit,entry_price,exit_price,entry_signal_price,exit_signal_price,stop_price,stop_price_initial,stop_price_exit,initial_risk_price,r_value,fees,pnl,win,exit_reason,qty
2021-01-22 12:00:00,2021-01-22 15:00:00,short,13337.93188,13366.070075232237,13337.93188,13366.070075232237,13340.6,13363.397395753087,13400.894140444445,13400.894140444445,13363.397395753087,62.96226044444484,-0.4611914485082827,0.5,-16.141700697789894,False,stop,0.5558885553494777
2021-01-22 13:00:00,2021-01-22 15:00:00,short,13333.93268,13368.170495232238,13333.93268,13368.170495232238,13336.6,13365.497395753087,13396.894140444445,13396.894140444445,13365.497395753087,62.96146044444504,-0.5580757564885679,0.5,-19.532651477099876,False,stop,0.5558956185726149
2021-01-25 15:00:00,2021-01-25 16:00:00,long,13558.111079999999,13462.968443641834,13558.111079999999,13462.968443641834,13555.4,13465.661575957025,13465.661575957025,13465.661575957025,13465.661575957025,92.44950404297379,-1.043519220008504,0.5,-36.26258459520669,False,stop,0.3758838935320044
2021-01-26 22:00:00,2021-01-27 12:00:00,long,13570.263509999999,13505.671158640207,13570.263509999999,13505.671158640207,13567.55,13508.372833206848,13408.638874715409,13408.638874715409,13508.372833206848,161.6246352845901,-0.4141384690186973,0.5,-14.286303445635367,False,stop,0.21343554082499663
2021-01-27 02:00:00,2021-01-27 12:00:00,long,13569.7134,13511.673580154846,13569.7134,13511.673580154846,13567.0,13514.376455445936,13421.597024753353,13421.597024753353,13514.376455445936,148.1163752466473,-0.4063470721431757,0.5,-14.017527979562807,False,stop,0.23290092932104867
2021-01-27 15:00:00,2021-01-27 16:00:00,long,13299.609390000001,13290.932281093392,13299.609390000001,13290.932281093392,13296.95,13293.59099929325,13101.517248409815,13101.517248409815,13293.59099929325,198.09214159018666,-0.0583813737227052,0.5,-2.002382724042858,False,stop,0.1731432370173944
2021-01-27 18:00:00,2021-01-27 20:00:00,short,13331.53316,13233.49397017264,13331.53316,13233.49397017264,13334.2,13230.847800612517,13546.595051378163,13546.595051378163,13230.847800612517,215.06189137816182,0.44128106752574153,0.5,15.129011595906789,True,stop,0.15941596032594918
2021-01-28 17:00:00,2021-01-28 21:00:00,short,13318.385789999998,13332.57057478932,13318.385789999998,13332.57057478932,13321.05,13329.904593870546,13628.41033620873,13628.41033620873,13329.904593870546,310.0245462087314,-0.06029277266552065,0.5,-2.0734805723059617,False,stop,0.11092734896411059
2021-01-28 19:00:00,2021-01-28 21:00:00,long,13393.22811,13205.053867048227,13393.22811,13205.053867048227,13390.55,13207.695406129453,13083.189663791269,13083.189663791269,13207.695406129453,310.03844620873133,-0.6214774396413835,0.5,-21.372734081605397,False,stop,0.11092237574169432
2021-01-29 19:00:00,2021-02-01 08:00:00,short,12899.51958,13014.533111161032,12899.51958,13014.533111161032,12902.1,13011.93072501603,13233.369131286065,13233.369131286065,13011.93072501603,333.8495512860645,-0.3591158151422604,0.5,-12.29112572849218,False,stop,0.10251946540084284
