Time,Type,Profit,Commission,Swap,Balance,Comment
2025.12.22 01:05:00,sell,335.33,0.00,-19.99,10 536.46,tp 25411.69
2025.12.22 01:05:00,sell,219.48,0.00,-13.09,10 742.85,tp 25416.52
2025.12.22 01:40:37,sell,219.79,0.00,-13.09,10 949.55,tp 25431.62
