TOP_CLOSEST_TO_696138_48
_docs_archive/backtest_artifacts/phantom-v2-validate-CtArRl/phantom_v5_1_trades_B.csv|rows=17096|sum_net=38812.82|final_10k=48812.82|qty=(1131.8382136177659,16432.574319909632,84529.78898857803)|conf=(None,None,None)
_docs_archive/backtest_artifacts/phantom-v2-validate-HzhbLi/phantom_v5_1_trades_B.csv|rows=17096|sum_net=38812.82|final_10k=48812.82|qty=(1131.8382136177659,16432.574319909632,84529.78898857803)|conf=(None,None,None)
backtest_artifacts/py_12m_2022/phantom_p2_ftmo_v2_trades_US100_P2_FTMO_V2B.csv|rows=145|sum_net=22591.79|final_10k=32591.79|qty=(0.4792512723288771,1.9171379062150402,7.823484794182428)|conf=(1.0,1.0,1.5)
_docs_archive/backtest_artifacts/phantom-v2-validate-3W7a6I/phantom_v5_1_trades_D.csv|rows=16893|sum_net=21710.17|final_10k=31710.17|qty=(0.2492213083493659,2.948070609873076,9.736619489160748)|conf=(None,None,None)
_docs_archive/backtest_artifacts/phantom-v2-validate-ZIL3uq/phantom_v5_1_trades_D.csv|rows=16893|sum_net=21710.17|final_10k=31710.17|qty=(0.2492213083493659,2.948070609873076,9.736619489160748)|conf=(None,None,None)
_docs_archive/backtest_artifacts/phantom-v2-validate-pVGATA/phantom_v5_1_trades_D.csv|rows=16893|sum_net=21710.17|final_10k=31710.17|qty=(0.2492213083493659,2.948070609873076,9.736619489160748)|conf=(None,None,None)
_docs_archive/backtest_artifacts/phantom-v2-validate-pTMbwH/phantom_v5_1_trades_D.csv|rows=16893|sum_net=21710.17|final_10k=31710.17|qty=(0.2492213083493659,2.948070609873076,9.736619489160748)|conf=(None,None,None)
_docs_archive/backtest_artifacts/phantom-v2-validate-5Z2Y8x/phantom_v5_1_trades_D.csv|rows=16893|sum_net=21710.17|final_10k=31710.17|qty=(0.2492213083493659,2.948070609873076,9.736619489160748)|conf=(None,None,None)
_docs_archive/backtest_artifacts/phantom-v2-validate-mVHgz5/phantom_v5_1_trades_D.csv|rows=16893|sum_net=21710.17|final_10k=31710.17|qty=(0.2492213083493659,2.948070609873076,9.736619489160748)|conf=(None,None,None)
_docs_archive/backtest_artifacts/phantom-v2-validate-zFlZEj/phantom_v5_1_trades_D.csv|rows=16893|sum_net=21710.17|final_10k=31710.17|qty=(0.2492213083493659,2.948070609873076,9.736619489160748)|conf=(None,None,None)
