DIAG|2025-12-02 09:45|M5|C=25312.05|E20=25319.60|E50=25325.15|RSI=44.12|H4|E20=25261.69|E50=25106.09|RSI=61.45|ATR=118.4807|M15ATR=20.7184|Zones=12
DIAG|2025-12-02 09:50|M5|C=25306.35|E20=25318.33|E50=25324.41|RSI=40.79|H4|E20=25261.69|E50=25106.09|RSI=61.45|ATR=118.4807|M15ATR=20.7184|Zones=12
DIAG|2025-12-02 09:55|M5|C=25308.15|E20=25317.36|E50=25323.77|RSI=42.27|H4|E20=25261.69|E50=25106.09|RSI=61.45|ATR=118.4807|M15ATR=20.7184|Zones=12
DIAG|2025-12-02 10:00|M5|C=25300.85|E20=25315.79|E50=25322.87|RSI=38.11|H4|E20=25261.69|E50=25106.09|RSI=61.45|ATR=118.4807|M15ATR=22.6893|Zones=12
DIAG|2025-12-02 10:05|M5|C=25283.35|E20=25312.70|E50=25321.32|RSI=30.38|H4|E20=25261.69|E50=25106.09|RSI=61.45|ATR=118.4807|M15ATR=22.6893|Zones=12
DIAG|2025-12-02 10:10|M5|C=25304.25|E20=25311.90|E50=25320.65|RSI=44.78|H4|E20=25261.69|E50=25106.09|RSI=61.45|ATR=118.4807|M15ATR=22.6893|Zones=12
DIAG|2025-12-02 10:15|M5|C=25301.75|E20=25310.93|E50=25319.91|RSI=43.62|H4|E20=25261.69|E50=25106.09|RSI=61.45|ATR=118.4807|M15ATR=21.7440|Zones=12
DIAG|2025-12-02 10:20|M5|C=25309.55|E20=25310.80|E50=25319.51|RSI=48.14|H4|E20=25261.69|E50=25106.09|RSI=61.45|ATR=118.4807|M15ATR=21.7440|Zones=12
DIAG|2025-12-02 10:25|M5|C=25308.35|E20=25310.57|E50=25319.07|RSI=47.51|H4|E20=25261.69|E50=25106.09|RSI=61.45|ATR=118.4807|M15ATR=21.7440|Zones=12
DIAG|2025-12-02 10:30|M5|C=25317.75|E20=25311.25|E50=25319.02|RSI=52.74|H4|E20=25261.69|E50=25106.09|RSI=61.45|ATR=118.4807|M15ATR=22.7915|Zones=12
DIAG|2025-12-02 10:35|M5|C=25326.05|E20=25312.66|E50=25319.29|RSI=56.83|H4|E20=25261.69|E50=25106.09|RSI=61.45|ATR=118.4807|M15ATR=22.7915|Zones=12
DIAG|2025-12-02 10:40|M5|C=25334.35|E20=25314.73|E50=25319.88|RSI=60.51|H4|E20=25261.69|E50=25106.09|RSI=61.45|ATR=118.4807|M15ATR=22.7915|Zones=12
DIAG|2025-12-02 10:45|M5|C=25359.35|E20=25318.98|E50=25321.43|RSI=69.06|H4|E20=25261.69|E50=25106.09|RSI=61.45|ATR=118.4807|M15ATR=25.3660|Zones=12
DIAG|2025-12-02 10:50|M5|C=25359.25|E20=25322.81|E50=25322.91|RSI=69.00|H4|E20=25261.69|E50=25106.09|RSI=61.45|ATR=118.4807|M15ATR=25.3660|Zones=12
DIAG|2025-12-02 10:55|M5|C=25370.75|E20=25327.38|E50=25324.79|RSI=72.21|H4|E20=25261.69|E50=25106.09|RSI=61.45|ATR=118.4807|M15ATR=25.3660|Zones=12
DIAG|2025-12-02 11:00|M5|C=25377.05|E20=25332.11|E50=25326.84|RSI=73.81|H4|E20=25261.69|E50=25106.09|RSI=61.45|ATR=118.4807|M15ATR=25.2772|Zones=12
DIAG|2025-12-02 11:05|M5|C=25377.15|E20=25336.40|E50=25328.81|RSI=73.83|H4|E20=25261.69|E50=25106.09|RSI=61.45|ATR=118.4807|M15ATR=25.2772|Zones=12
DIAG|2025-12-02 11:10|M5|C=25385.25|E20=25341.05|E50=25331.03|RSI=75.90|H4|E20=25261.69|E50=25106.09|RSI=61.45|ATR=118.4807|M15ATR=25.2772|Zones=12
DIAG|2025-12-02 11:15|M5|C=25388.85|E20=25345.60|E50=25333.29|RSI=76.78|H4|E20=25261.69|E50=25106.09|RSI=61.45|ATR=118.4807|M15ATR=24.8402|Zones=12
DIAG|2025-12-02 11:20|M5|C=25390.55|E20=25349.88|E50=25335.54|RSI=77.20|H4|E20=25261.69|E50=25106.09|RSI=61.45|ATR=118.4807|M15ATR=24.8402|Zones=12
DIAG|2025-12-02 11:25|M5|C=25395.25|E20=25354.20|E50=25337.88|RSI=78.37|H4|E20=25261.69|E50=25106.09|RSI=61.45|ATR=118.4807|M15ATR=24.8402|Zones=12
DIAG|2025-12-02 11:30|M5|C=25382.05|E20=25356.86|E50=25339.61|RSI=67.83|H4|E20=25261.69|E50=25106.09|RSI=61.45|ATR=118.4807|M15ATR=24.2615|Zones=12
DIAG|2025-12-02 11:35|M5|C=25378.95|E20=25358.96|E50=25341.16|RSI=65.60|H4|E20=25261.69|E50=25106.09|RSI=61.45|ATR=118.4807|M15ATR=24.2615|Zones=12
DIAG|2025-12-02 11:40|M5|C=25382.75|E20=25361.23|E50=25342.79|RSI=67.03|H4|E20=25261.69|E50=25106.09|RSI=61.45|ATR=118.4807|M15ATR=24.2615|Zones=12
DIAG|2025-12-02 11:45|M5|C=25387.85|E20=25363.76|E50=25344.55|RSI=68.90|H4|E20=25261.69|E50=25106.09|RSI=61.45|ATR=118.4807|M15ATR=24.6533|Zones=12
DIAG|2025-12-02 11:50|M5|C=25398.25|E20=25367.05|E50=25346.66|RSI=72.35|H4|E20=25261.69|E50=25106.09|RSI=61.45|ATR=118.4807|M15ATR=24.6533|Zones=12
DIAG|2025-12-02 11:55|M5|C=25391.75|E20=25369.40|E50=25348.43|RSI=67.33|H4|E20=25261.69|E50=25106.09|RSI=61.45|ATR=118.4807|M15ATR=24.6533|Zones=12
DIAG|2025-12-02 12:00|M5|C=25391.55|E20=25371.51|E50=25350.12|RSI=67.17|H4|E20=25261.69|E50=25106.09|RSI=61.45|ATR=118.4807|M15ATR=23.9395|Zones=12
DIAG|2025-12-02 12:05|M5|C=25407.65|E20=25374.95|E50=25352.37|RSI=72.62|H4|E20=25280.23|E50=25119.82|RSI=64.35|ATR=113.0433|M15ATR=23.9395|Zones=11
DIAG|2025-12-02 12:10|M5|C=25397.45|E20=25377.09|E50=25354.14|RSI=65.24|H4|E20=25280.23|E50=25119.82|RSI=64.35|ATR=113.0433|M15ATR=23.9395|Zones=11
DIAG|2025-12-02 12:15|M5|C=25397.35|E20=25379.02|E50=25355.84|RSI=65.17|H4|E20=25280.23|E50=25119.82|RSI=64.35|ATR=113.0433|M15ATR=23.3743|Zones=11
