window,test_start,test_end,trades,win_rate,profit_factor,net_pnl,total_fees,expectancy,return_pct,max_dd_pct,train_wr,adaptive_mult,degraded,capital_start,capital_end
1,2024-06-30,2024-07-30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.75,True,10000.0,10000.0
2,2024-07-30,2024-08-29,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.75,True,10000.0,10000.0
3,2024-08-29,2024-09-28,3,66.7,3.27,107.95,41.93,35.98,1.08,-0.62,0.0,0.5,False,10000.0,10107.95
4,2024-09-28,2024-10-28,3,33.3,0.86,-42.71,39.42,-14.24,-0.42,-2.26,66.7,1.0,True,10107.95,10065.23
5,2024-10-28,2024-11-27,1,0.0,0.0,-124.74,24.09,-124.74,-1.24,-1.24,75.0,1.0,True,10065.23,9940.5
6,2024-11-27,2024-12-27,2,50.0,1.55,52.01,45.56,26.0,0.52,-1.3,60.0,1.0,False,9940.5,9992.5
7,2024-12-27,2025-01-26,4,50.0,1.61,56.87,41.54,14.22,0.57,-1.22,33.3,0.5,False,9992.5,10049.37
8,2025-01-26,2025-02-25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.9,0.5,True,10049.37,10049.37
9,2025-02-25,2025-03-27,3,33.3,0.83,-42.79,41.4,-14.26,-0.43,-1.75,50.0,0.75,True,10049.37,10006.58
10,2025-03-27,2025-04-26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.9,0.5,True,10006.58,10006.58
11,2025-04-26,2025-05-26,2,50.0,1.76,37.64,11.92,18.82,0.38,-0.56,33.3,0.5,False,10006.58,10044.23
12,2025-05-26,2025-06-25,2,50.0,1.71,35.19,14.44,17.6,0.35,-0.61,40.0,0.5,False,10044.23,10079.42
13,2025-06-25,2025-07-25,1,100.0,1.0,181.25,20.34,181.25,1.8,-0.07,60.0,1.0,False,10079.42,10260.67
14,2025-07-25,2025-08-24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.7,1.0,True,10260.67,10260.67
15,2025-08-24,2025-09-23,2,50.0,1.57,56.0,43.9,28.0,0.55,-1.36,66.7,1.0,False,10260.67,10316.67
16,2025-09-23,2025-10-23,2,100.0,1.0,403.44,13.2,201.72,3.91,-0.03,66.7,1.0,False,10316.67,10720.11
17,2025-10-23,2025-11-22,1,0.0,0.0,-114.41,7.21,-114.41,-1.07,-1.07,80.0,1.0,True,10720.11,10605.7
18,2025-11-22,2025-12-22,3,0.0,0.0,-363.93,49.34,-121.31,-3.43,-3.43,66.7,1.0,True,10605.7,10241.77
19,2025-12-22,2026-01-21,2,50.0,1.76,37.53,13.11,18.76,0.37,-0.58,33.3,0.5,False,10241.77,10279.3
20,2026-01-21,2026-02-20,1,100.0,1.0,94.55,8.24,94.55,0.92,-0.03,16.7,0.5,False,10279.3,10373.85
21,2026-02-20,2026-03-22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,0.5,True,10373.85,10373.85
