entry_ts,exit_ts,dir,entry,exit,entry_price,exit_price,entry_signal_price,exit_signal_price,stop_price,stop_price_initial,stop_price_exit,initial_risk_price,r_value,fees,pnl,win,exit_reason,qty
2023-05-24 10:17:00,2023-05-24 18:26:00,short,13662.267,13575.996014300837,13662.267,13575.996014300837,13665.0,13573.281358029231,13745.222037043848,13745.222037043848,13573.281358029231,82.95503704384828,1.011401414229682,0.5,17.699524749019435,True,stop,0.21095765397283675
2023-05-24 12:09:00,2023-05-24 18:26:00,short,13666.16622,13579.305828394059,13666.16622,13579.305828394059,13668.9,13576.590510292,13754.085765438002,13754.085765438002,13576.590510292,87.91954543800239,0.9593817185156527,0.5,16.78918007402392,True,stop,0.1990456150884032
2023-05-24 18:45:00,2023-05-24 20:45:00,short,13538.59174,13597.697437941519,13538.59174,13597.697437941519,13541.3,13594.978442253068,13634.1176633796,13634.1176633796,13594.978442253068,95.5259233796005,-0.6471155758680307,0.5,-11.402636200979309,False,stop,0.1844599857659533
2023-05-24 19:45:00,2023-05-24 20:45:00,short,13540.89128,13597.697437941519,13540.89128,13597.697437941519,13543.6,13594.978442253068,13636.417663379601,13636.417663379601,13594.978442253068,95.52638337960161,-0.6230402938466816,0.5,-10.97841262707262,False,stop,0.18445909751298425
2023-05-24 23:23:00,2023-05-25 16:34:00,long,13743.84822,13854.030656310664,13743.84822,13854.030656310664,13741.1,13856.802016714008,13617.728025071012,13617.728025071012,13856.802016714008,126.12019492898798,0.8451279906380078,0.5,14.825553652603478,True,stop,0.1390925284079977
2023-05-24 23:37:00,2023-05-25 16:34:00,long,13769.85342,13854.030656310664,13769.85342,13854.030656310664,13767.1,13856.802016714008,13643.728025071012,13643.728025071012,13856.802016714008,126.12539492898759,0.6389066908535975,0.5,11.207941908428095,True,stop,0.1390867937885099
2023-05-25 17:40:00,2023-05-26 04:24:00,long,13885.82661,13903.526271137809,13885.82661,13903.526271137809,13883.05,13906.307532644338,13760.631298966506,13760.631298966506,13906.307532644338,125.19531103349436,0.11302126103546703,0.5,1.992959731782396,True,stop,0.1408478790849321
2023-05-25 18:06:00,2023-05-26 04:24:00,long,13917.953034,13903.526271137809,13917.953034,13903.526271137809,13915.17,13906.307532644338,13792.751298966507,13792.751298966507,13906.307532644338,125.2017350334936,-0.1435832675945528,0.5,-2.531874692000489,False,stop,0.14084065229390647
2023-05-26 04:52:00,2023-05-26 17:18:00,long,13918.983240000001,14123.26766211754,13918.983240000001,14123.26766211754,13916.2,14126.092880693679,13811.253559653162,13811.253559653162,14062.135706435442,107.72968034683981,1.8679105487723182,0.5,32.93426625389715,True,tp,0.163665275635458
2023-05-26 06:01:00,2023-05-26 17:18:00,long,13920.98364,14125.26726211754,13920.98364,14125.26726211754,13918.2,14128.092880693679,13813.253559653162,13813.253559653162,14062.135706435442,107.7300803468388,1.8678960819913082,0.5,32.93401118128784,True,tp,0.16366466794900794
