entry_ts,exit_ts,dir,entry,exit,pnl,win,exit_reason,qty
2011-09-08 08:10:00,2011-09-09 13:05:00,long,1831.41,1866.1802348488916,29.110718863923932,True,stop,0.8372310106744073
2011-09-08 08:40:00,2011-09-09 13:05:00,long,1837.59,1866.1802348488916,23.936631217956233,True,stop,0.8372310106744073
2011-09-09 13:20:00,2011-09-09 16:00:00,short,1842.25,1848.2487057771475,-4.444342910269322,False,stop,0.7408836297990077
2011-09-09 13:30:00,2011-09-09 16:00:00,short,1827.03,1848.9887057771475,-16.26884564186151,False,stop,0.7408836297990077
2011-09-09 16:35:00,2011-09-09 21:40:00,long,1857.98,1845.500988326472,-9.100246002366601,False,stop,0.7292441292984072
2011-09-09 18:10:00,2011-09-09 21:40:00,long,1856.26,1845.500988326472,-7.845946099973321,False,stop,0.7292441292984072
2011-09-09 22:50:00,2011-09-12 09:45:00,long,1854.42,1839.8403232162757,-10.953129284573793,False,stop,0.7512600894418329
2011-09-12 01:15:00,2011-09-12 09:45:00,long,1856.63,1840.2664134541055,-12.713270319963286,False,stop,0.7769244403912716
2011-09-12 10:30:00,2011-09-13 02:55:00,short,1835.65,1822.7098938944719,10.175106081982497,True,stop,0.7863232340603081
2011-09-12 10:45:00,2011-09-13 02:55:00,short,1841.22,1822.7098938944719,14.554926495698362,True,stop,0.7863232340603081
2011-09-13 03:55:00,2011-09-13 11:05:00,short,1822.94,1817.0577211164446,5.067038324661666,True,stop,0.8614073601350454
2011-09-13 06:35:00,2011-09-13 11:05:00,short,1829.79,1816.2889583009187,12.145237839129189,True,stop,0.8995778333130886
2011-09-13 11:15:00,2011-09-13 14:40:00,short,1804.54,1825.6326971941294,-17.30980172392291,False,stop,0.8206537819516333
2011-09-13 11:35:00,2011-09-13 14:40:00,short,1812.58,1825.6326971941294,-10.711745317031806,False,stop,0.8206537819516333
2011-09-13 16:10:00,2011-09-13 20:35:00,short,1824.63,1830.944221448035,-5.204345790878703,False,stop,0.8242260480899634
2011-09-13 17:10:00,2011-09-13 20:35:00,short,1814.95,1830.944221448035,-13.1828539363896,False,stop,0.8242260480899634
2011-09-14 01:10:00,2011-09-14 08:45:00,long,1833.51,1826.8927136679204,-6.058384989284483,False,stop,0.9155391931454325
2011-09-14 09:10:00,2011-09-15 15:35:00,short,1828.46,1798.5257484005397,28.642874550473277,True,stop,0.9568595511834888
2011-09-15 15:40:00,2011-09-15 16:20:00,short,1786.84,1798.4106764374446,-11.442561123454631,False,stop,0.9889275865000007
2011-09-13 22:20:00,2011-09-16 13:30:00,short,1836.6,1782.5877919216302,45.18318326327889,True,stop,0.8365364955589263
2011-09-15 16:55:00,2011-09-16 13:30:00,short,1786.87,1780.6987195791185,5.76076206070074,True,stop,0.933479224377547
2011-09-16 14:55:00,2011-09-16 17:05:00,short,1784.58,1795.8055612111139,-11.402303632196329,False,stop,1.0157446400904586
2011-09-16 15:05:00,2011-09-16 17:05:00,short,1780.34,1797.3255612111138,-17.25299275911736,False,stop,1.0157446400904586
2011-09-16 17:30:00,2011-09-19 15:15:00,long,1794.22,1808.6415802837012,12.932505103932959,True,stop,0.89674673992204
2011-09-16 17:40:00,2011-09-19 15:15:00,long,1790.76,1808.6415802837012,16.03524882406325,True,stop,0.89674673992204
2011-09-19 15:20:00,2011-09-20 10:00:00,short,1812.95,1785.194358186303,30.59008641620201,True,stop,1.1021213856818868
2011-09-19 15:25:00,2011-09-20 10:00:00,short,1815.1,1785.194358186303,32.95964739541792,True,stop,1.1021213856818868
2011-09-20 10:00:00,2011-09-20 16:55:00,short,1786.82,1793.337856381981,-7.141852304335576,False,stop,1.0957363718659896
2011-09-20 13:50:00,2011-09-20 16:55:00,short,1785.11,1792.5829421977169,-8.63751691420869,False,stop,1.1558388497702416
2011-09-20 18:10:00,2011-09-21 15:00:00,long,1798.51,1799.859850095312,1.3600126377223638,True,stop,1.0075286451775176
2011-09-20 18:45:00,2011-09-21 15:00:00,long,1808.31,1799.859850095312,-8.513768085017263,False,stop,1.0075286451775176
2011-09-21 15:25:00,2011-09-21 18:45:00,short,1793.15,1799.6007403253482,-7.439983165334711,False,stop,1.153353381176951
2011-09-21 15:35:00,2011-09-21 18:45:00,short,1795.57,1799.6007403253482,-4.648867982886668,False,stop,1.153353381176951
2011-09-21 19:10:00,2011-09-21 21:25:00,long,1800.93,1797.3046917180316,-3.95950564558731,False,stop,1.0921845364933611
2011-09-21 19:55:00,2011-09-21 21:25:00,long,1808.38,1797.3046917180316,-12.0962804424629,False,stop,1.0921845364933611
2011-09-21 22:00:00,2011-09-22 19:15:00,short,1792.72,1739.235667177706,51.28046896560049,True,stop,0.9587942161676399
2011-09-21 22:25:00,2011-09-22 19:15:00,short,1785.01,1739.235667177706,43.888165558947954,True,stop,0.9587942161676399
2011-09-22 20:30:00,2011-09-23 03:10:00,short,1735.18,1743.5064976117076,-7.741892269177859,False,stop,0.9297897663829671
2011-09-22 22:10:00,2011-09-23 03:10:00,short,1733.69,1743.5064976117076,-9.127279021088487,False,stop,0.9297897663829671
2011-09-23 04:35:00,2011-09-23 09:25:00,short,1748.0,1737.5918137616827,10.44123483879484,True,stop,1.0031752506844938
2011-09-23 07:55:00,2011-09-23 09:25:00,short,1735.62,1737.5918137616827,-1.978074764679302,False,stop,1.0031752506844938
2011-09-23 10:00:00,2011-09-23 16:50:00,short,1747.51,1700.621305260125,44.387762631065286,True,stop,0.9466623645063224
2011-09-23 10:45:00,2011-09-23 16:50:00,short,1734.58,1700.621305260125,32.14741825799848,True,stop,0.9466623645063224
2011-09-23 19:50:00,2011-09-23 21:00:00,short,1651.02,1653.453033728716,-1.675071449230634,False,stop,0.6884702951136613
2011-09-23 20:55:00,2011-09-26 03:10:00,short,1650.09,1655.852229231554,-3.962224706550457,False,stop,0.6876201114758195
2011-09-23 22:35:00,2011-09-26 03:10:00,short,1648.45,1655.852229231554,-5.088290054551792,False,stop,0.6873996866864917
2011-09-26 04:05:00,2011-09-26 10:25:00,short,1651.45,1575.260741067256,46.103042412100855,True,stop,0.6051120992369577
2011-09-28 04:15:00,2011-09-28 09:50:00,short,1633.49,1652.909386118452,-15.113890543360846,False,stop,0.7782887909623419
2011-09-28 19:10:00,2011-09-29 04:40:00,short,1631.5,1605.0508282377004,19.936799512867694,True,stop,0.7537778381886971
2011-09-29 03:35:00,2011-09-29 04:40:00,short,1585.68,1605.4088798763173,-14.629260309963115,False,stop,0.7415149973883833
2011-09-30 09:35:00,2011-09-30 15:35:00,long,1629.66,1616.319976480389,-12.467278326990641,False,stop,0.9345769374890935
2011-09-30 05:20:00,2011-09-30 19:25:00,short,1632.82,1627.7009502149358,4.491015838648969,True,stop,0.8773143507516605
2011-09-30 17:55:00,2011-10-03 04:05:00,short,1609.08,1632.020035443619,-20.747375048902146,False,stop,0.9044177416331396
2011-10-03 04:25:00,2011-10-03 17:40:00,long,1634.51,1647.4517944089985,14.066314929724532,True,stop,1.0868906185021896
2011-09-30 19:25:00,2011-10-03 17:45:00,long,1628.31,1644.379964556381,14.546421090775816,True,stop,0.9051931035529045
2011-10-04 01:05:00,2011-10-04 10:55:00,long,1663.21,1662.163888204774,-1.200423832490837,False,stop,1.1475100825446256
2011-10-04 02:05:00,2011-10-04 10:55:00,long,1663.01,1662.163888204774,-0.9709218159818596,False,stop,1.1475100825446256
2011-10-04 11:20:00,2011-10-04 14:15:00,long,1667.4,1658.9644049182523,-10.290733110495136,False,stop,1.2199178612498025
2011-10-04 13:00:00,2011-10-04 14:35:00,long,1668.96,1655.226350929152,-14.89746698518591,False,stop,1.0847420746178993
2011-10-04 16:40:00,2011-10-04 22:50:00,short,1643.33,1613.3970291947348,27.564957403748352,True,stop,0.9208894627625731
2011-10-04 17:40:00,2011-10-04 22:50:00,short,1636.2,1613.3970291947348,20.999015534251313,True,stop,0.9208894627625731
2011-10-05 11:40:00,2011-10-05 14:10:00,short,1608.15,1615.3722798781398,-6.890313839857173,False,stop,0.9540358385601571
2011-10-05 12:20:00,2011-10-05 15:20:00,short,1598.18,1617.3079758943877,-17.211896748123625,False,stop,0.8998284420242176
2011-10-05 19:05:00,2011-10-06 16:50:00,long,1628.29,1634.0897542248638,4.85101335175975,True,stop,0.836417055564739
2011-10-05 19:45:00,2011-10-06 16:50:00,long,1638.58,1634.0897542248638,-3.7557181500013836,False,stop,0.836417055564739
2011-10-06 17:10:00,2011-10-07 05:15:00,short,1642.58,1655.2733505219985,-13.483620983852363,False,stop,1.0622586180444777
2011-10-06 18:10:00,2011-10-07 05:15:00,short,1643.18,1656.0433505219985,-13.66420494891976,False,stop,1.0622586180444777
2011-10-07 06:40:00,2011-10-07 11:45:00,long,1665.51,1650.7992032305688,-18.173181219804786,False,stop,1.235363488779094
2011-10-07 06:45:00,2011-10-07 12:15:00,long,1663.95,1649.9192032305687,-17.333134047435205,False,stop,1.235363488779094
2011-10-07 15:35:00,2011-10-07 19:15:00,long,1662.6,1645.320761537627,-21.514382844033747,False,stop,1.2451001756173055
2011-10-07 19:50:00,2011-10-10 01:25:00,short,1635.06,1642.2010733340567,-7.874997662459791,False,stop,1.1027750723274161
2011-10-07 19:55:00,2011-10-10 01:25:00,short,1632.76,1642.2010733340567,-10.411380328812797,False,stop,1.1027750723274161
2011-10-10 11:10:00,2011-10-10 17:00:00,long,1661.09,1656.8577806322176,-5.688707759990708,False,stop,1.3441429343894167
2011-10-10 02:00:00,2011-10-11 09:30:00,long,1639.8,1670.51274936242,36.78872532240179,True,stop,1.1978323688408143
2011-10-10 17:30:00,2011-10-11 09:30:00,long,1665.87,1671.6689552304213,7.59547196683445,True,stop,1.309800070017533
2011-10-11 10:10:00,2011-10-11 11:30:00,long,1676.05,1663.8685011029345,-15.794985767078895,False,stop,1.2966372940265931
2011-10-11 11:00:00,2011-10-11 17:10:00,short,1670.8,1668.6714988970655,2.759893910441581,True,stop,1.2966372940265931
2011-10-11 11:50:00,2011-10-12 09:30:00,short,1656.23,1669.8414988970655,-17.59541601467908,False,stop,1.2926876127119573
2011-10-12 09:50:00,2011-10-12 16:30:00,long,1674.09,1680.6687086771933,10.201970034472009,True,stop,1.5507557083108863
2011-10-11 17:10:00,2011-10-12 16:35:00,long,1668.1,1679.478456383982,15.877934054611742,True,stop,1.395438319468702
2011-10-12 16:55:00,2011-10-12 19:00:00,long,1682.32,1672.0216878508697,-15.588172048004358,False,stop,1.513662804377215
2011-10-12 20:00:00,2011-10-13 08:35:00,long,1681.4,1673.5647961374202,-12.622045339949112,False,stop,1.6109402590315103
2011-10-12 19:35:00,2011-10-13 08:40:00,long,1678.13,1672.8916878508696,-7.90518095669062,False,stop,1.5091084172986562
2011-10-13 09:15:00,2011-10-13 13:40:00,long,1673.78,1669.7315197374555,-7.1533340715190805,False,stop,1.7669183514861093
2011-10-13 10:15:00,2011-10-13 13:40:00,long,1673.73,1669.7315197374555,-7.064988153944856,False,stop,1.7669183514861093
2011-10-13 14:15:00,2011-10-13 20:25:00,short,1666.75,1664.8434828942054,3.215582112277794,True,stop,1.686626415522044
2011-10-13 14:20:00,2011-10-13 20:25:00,short,1669.53,1664.8434828942054,7.90440354742903,True,stop,1.686626415522044
2011-10-13 20:25:00,2011-10-14 09:05:00,short,1666.95,1671.094482707203,-6.960479009797373,False,stop,1.679456641886876
2011-10-13 21:00:00,2011-10-14 17:25:00,long,1663.53,1673.8255172927968,17.290874899048823,True,stop,1.679456641886876
2011-10-14 10:05:00,2011-10-14 17:25:00,long,1674.91,1674.4844093310444,-0.7668426919666411,False,stop,1.8018315435540626
2011-10-14 19:00:00,2011-10-17 13:50:00,long,1673.9,1684.639960786429,18.193950633952586,True,stop,1.694042557114618
2011-10-14 19:50:00,2011-10-17 13:50:00,long,1677.7,1684.639960786429,11.756588916917114,True,stop,1.694042557114618
2011-10-17 14:40:00,2011-10-17 19:00:00,long,1684.06,1677.2872301251366,-11.849804539823175,False,stop,1.7496245640654184
2011-10-17 16:10:00,2011-10-18 14:55:00,short,1684.65,1638.6641974880324,72.53499814264381,True,tp,1.577334615912526
