direction,entry_price,entry,entry_ts,entry_bar,stop,target,qty,atr,score,zone,exit_price,exit_ts,exit_reason,pnl,fee,win,month
long,13277.9,13277.9,2023-05-01 09:40:00,6018,13273.668695663475,13305.940869514363,4.992712509442313,7.789130420656402,9,13298.752400697902,13273.668695663475,2023-05-01 10:00:00,stop,-47.64278106387437,26.517094971649634,False,2023-05
long,13278.7,13278.7,2023-05-09 07:00:00,7624,13279.045738329783,13286.594177515972,17.626583785174276,2.1928270877697607,9,13298.752400697902,13279.045738329783,2023-05-09 07:20:00,stop,-87.52906160561541,93.62324724327748,False,2023-05
long,13273.1,13273.1,2023-05-09 08:00:00,7636,13279.59552446996,13282.570139885185,14.494676263637965,2.6305944125513983,7,13298.752400697902,13279.59552446996,2023-05-09 08:15:00,stop,17.194809348644185,76.95571500595723,True,2023-05
long,13274.8,13274.8,2023-05-09 09:00:00,7648,13269.081850183386,13286.236299633227,11.976657968544833,3.1767498981187847,5,13298.752400697902,13269.081850183386,2023-05-09 09:05:00,stop,-132.0794202468156,63.595095680335575,False,2023-05
long,13386.7,13386.7,2023-05-11 10:45:00,8215,13370.970901262941,13420.130944316768,4.028434563608786,9.286373421324122,9,13412.725,13370.970901262941,2023-05-11 11:00:00,stop,-84.93462299585153,21.570977989064698,False,2023-05
long,13390.6,13390.6,2023-05-11 12:00:00,8230,13380.3137001725,13418.43834922375,4.7895903934607675,7.732874784374991,9,13412.725,13380.3137001725,2023-05-11 12:15:00,stop,-74.92135848711922,25.654195649070303,False,2023-05
long,13395.2,13395.2,2023-05-11 13:00:00,8242,13383.277018197932,13419.04596360414,5.539965329838326,6.623878778927454,9,13412.725,13383.277018197932,2023-05-11 13:10:00,stop,-95.7364832462531,29.68357743450014,False,2023-05
long,13412.7,13412.7,2023-05-12 09:00:00,8467,13415.546208920088,13428.692059859604,8.163908649805302,4.442238849890047,7,13412.725,13415.546208920088,2023-05-12 09:05:00,stop,-20.563833397041922,43.800023018897434,False,2023-05
long,13412.0,13412.0,2023-05-12 13:10:00,8517,13411.901430000025,13432.693564999887,6.280368896709862,5.748212499968684,7,13412.725,13411.901430000025,2023-05-12 13:35:00,stop,-34.31197901905851,33.69292305706907,False,2023-05
long,13406.2,13406.2,2023-05-12 15:30:00,8545,13406.933248940466,13430.800379767907,5.2538621370509135,6.833438824418059,6,13412.725,13406.933248940466,2023-05-12 15:40:00,stop,-24.32134178734959,28.173730632692788,False,2023-05
long,13401.9,13401.9,2023-05-16 07:00:00,8989,13400.570687948562,13410.131904231466,15.635421076476975,2.2866400642963636,7,13412.725,13400.570687948562,2023-05-16 07:10:00,stop,-104.60209355619119,83.81773988993471,False,2023-05
long,13393.7,13393.7,2023-05-16 09:30:00,9019,13392.572830551557,13408.672262517994,8.459518745346351,4.158961810553386,6,13412.725,13392.572830551557,2023-05-16 09:45:00,stop,-54.857013566111604,45.32170248781817,False,2023-05
long,13410.3,13410.3,2023-05-16 12:20:00,9053,13411.464663241306,13432.959015414122,5.541850915799028,6.2941709483674675,6,13412.725,13411.464663241306,2023-05-16 12:30:00,stop,-23.272763284022894,29.72715333445588,False,2023-05
long,13409.5,13409.5,2023-05-16 13:20:00,9065,13411.073682589176,13432.118428348707,5.528190316180438,6.282896763529749,6,13412.725,13411.073682589176,2023-05-16 13:50:00,stop,-20.952490367702374,29.652107217928634,False,2023-05
long,13408.9,13408.9,2023-05-16 15:00:00,9085,13400.880917159944,13429.235872780248,6.124058617726501,5.648853550069015,5,13412.725,13400.880917159944,2023-05-16 15:30:00,stop,-81.95608921259767,32.84675583969315,False,2023-05
short,13786.9,13786.9,2023-05-23 15:55:00,10461,13794.064711874362,13754.65879656537,3.8199803756931807,8.955889842952628,6,13759.8,13794.064711874362,2023-05-23 16:10:00,stop,-48.43533373421717,21.066274976657724,False,2023-05
long,13896.8,13896.8,2023-05-25 14:55:00,10995,13900.220096318417,13930.909566567121,3.58653650937384,9.474879601978344,9,13915.1,13900.220096318417,2023-05-25 15:00:00,stop,-7.6702519138069025,19.936552225386553,False,2023-05
