direction,entry_price,entry,entry_ts,entry_bar,stop,target,qty,atr,score,zone,exit_price,exit_ts,exit_reason,pnl,fee,win,month
long,19245.75,19245.75,2025-04-01 09:50:00,378,19237.62963539487,19305.24164072307,2.353271792447194,16.52545575640793,9,19281.985,19237.62963539487,2025-04-01 09:55:00,stop,-37.2256172094329,18.116192239796234,False,2025-04
long,19244.25,19244.25,2025-04-01 11:15:00,395,19252.229652007576,19312.74156596591,2.034586683019438,19.025434990530762,9,19281.985,19252.229652007576,2025-04-01 11:25:00,stop,0.5736557998648841,15.661637909878728,True,2025-04
long,19244.75,19244.75,2025-04-01 13:05:00,417,19223.774803555134,19331.0383840019,1.6137795294225696,23.968995556083016,7,19281.985,19223.774803555134,2025-04-01 13:25:00,stop,-46.27205608788383,12.422713439542,False,2025-04
short,19305.65,19305.65,2025-04-02 13:00:00,689,19302.747731109856,19227.81021000566,1.7794968352301717,21.622163887316972,7,19281.985,19302.747731109856,2025-04-02 13:45:00,stop,-8.577158925822875,13.741737230824546,False,2025-04
short,19294.95,19294.95,2025-04-02 14:05:00,702,19288.085690129417,19215.589394417617,1.74267051705859,22.044612661773005,7,19281.985,19288.085690129417,2025-04-02 14:35:00,stop,-1.4876657658279289,13.449896197247858,False,2025-04
short,18814.45,18814.45,2025-04-03 13:10:00,964,18839.22977380039,18696.64101789824,1.1729531017496841,32.72471725048869,8,18795.55,18839.22977380039,2025-04-03 13:25:00,stop,-37.89289953390887,8.827386994085739,False,2025-04
short,18819.45,18819.45,2025-04-03 14:15:00,977,18813.739240259216,18685.848418833535,1.0298689391734015,37.11155032401855,8,18795.55,18813.739240259216,2025-04-03 14:30:00,stop,-1.8712927268144846,7.752626802930749,False,2025-04
short,18814.85,18814.85,2025-04-03 15:20:00,990,18806.69252325715,18696.30864534282,1.1600310505956772,32.928154071438655,8,18795.55,18806.69252325715,2025-04-03 15:30:00,stop,0.7326022312981983,8.730324084920031,True,2025-04
short,17998.65,17998.65,2025-04-04 13:40:00,1243,17967.94380379625,17671.52788291688,0.42021248080183116,90.86725474531184,9,17987.05,17967.94380379625,2025-04-04 13:50:00,stop,9.87782393573262,3.025302947033552,True,2025-04
short,17783.15,17783.15,2025-04-04 14:30:00,1253,17842.797687926683,17456.68540432993,0.4214175459876047,90.68460990835315,9,17776.95,17842.797687926683,2025-04-04 14:40:00,stop,-28.13423484306822,2.9976525731717896,False,2025-04
short,17995.86,17995.86,2025-04-04 15:25:00,1264,17999.247267426035,17683.122296582846,0.43858813441608885,86.87158428254293,7,17987.05,17999.247267426035,2025-04-04 15:35:00,stop,-4.64272356699818,3.157108265845247,False,2025-04
short,16624.45,16624.45,2025-04-07 07:15:00,1439,16619.024366288817,16441.415351700318,0.7489071019551888,50.84295786102313,9,16605.05,16619.024366288817,2025-04-07 07:25:00,stop,-0.9167718495265671,4.980067468439576,False,2025-04
short,16635.95,16635.95,2025-04-07 08:25:00,1453,16655.63041922982,16405.18811346581,0.5938079931454713,64.10052403727512,9,16605.05,16655.63041922982,2025-04-07 08:30:00,stop,-15.637814280547518,3.9514240334273616,False,2025-04
short,16628.45,16628.45,2025-04-07 12:15:00,1499,16673.40611726562,16388.347472304715,0.5696802307002711,66.69514658202395,8,16605.05,16673.40611726562,2025-04-07 12:25:00,stop,-29.399770948140674,3.7891596928751694,False,2025-04
short,17611.29,17611.29,2025-04-08 07:30:00,1715,17603.099364932852,17523.94785780216,1.5610281477778176,24.261706166067352,5,17585.45,17603.099364932852,2025-04-08 07:55:00,stop,1.7891241245241805,10.996687763471202,True,2025-04
short,17589.29,17589.29,2025-04-08 08:40:00,1729,17615.667511171072,17463.841199730174,1.0864321786122648,34.84688896384104,6,17585.45,17615.667511171072,2025-04-08 08:55:00,stop,-36.301205189933285,7.64382826197717,False,2025-04
long,17741.65,17741.65,2025-04-08 10:55:00,1756,17704.552556041355,17868.088497813907,1.0734854657219852,35.12180494830769,6,17776.95,17704.552556041355,2025-04-08 11:05:00,stop,-47.441728270213126,7.618161365170585,False,2025-04
short,17601.55,17601.55,2025-04-08 11:25:00,1762,17673.22349250955,17457.21928370703,0.9354375967452048,40.091865636936674,5,17585.45,17673.22349250955,2025-04-08 11:35:00,stop,-73.63214023586659,6.586060652396224,False,2025-04
short,17612.55,17612.55,2025-04-08 12:50:00,1779,17611.848621210218,17496.906204554027,1.1581721741423983,32.12327651277063,4,17585.45,17611.848621210218,2025-04-08 12:55:00,stop,-7.347028732418304,8.159346130276678,False,2025-04
short,17803.65,17803.65,2025-04-08 15:45:00,1814,17863.589717303454,17626.171272134463,0.753754851533127,49.29964662931618,3,17776.95,17863.589717303454,2025-04-08 16:00:00,stop,-50.54768774200032,5.367835024999104,False,2025-04
short,16626.25,16626.25,2025-04-09 08:35:00,2001,16724.058009413162,16394.013957640775,0.5728232721656593,64.51001176645144,9,16605.05,16724.058009413162,2025-04-09 08:55:00,stop,-59.83626516759474,3.8095611715377173,False,2025-04
short,18647.05,18647.05,2025-04-10 11:30:00,2309,18706.61679255522,18392.499433501493,0.5192124962693496,70.70849069402976,5,18622.75,18706.61679255522,2025-04-10 11:40:00,stop,-34.800535608779334,3.87271255142375,False,2025-04
long,18763.35,18763.35,2025-04-10 13:05:00,2328,18769.10028709921,18938.17370805356,0.7530530042970393,48.56214112598971,7,18795.55,18769.10028709921,2025-04-10 13:10:00,stop,-1.3216478596399517,5.651918835270741,False,2025-04
long,18777.55,18777.55,2025-04-10 14:20:00,2343,18742.36373386755,18941.73819759602,0.8014793632973695,45.6078326655616,7,18795.55,18742.36373386755,2025-04-10 14:30:00,stop,-34.22099370396043,6.019927527313808,False,2025-04
long,18766.55,18766.55,2025-04-10 15:30:00,2357,18658.292972663632,18983.064054672737,0.605375105388758,60.1427929646492,6,18795.55,18658.292972663632,2025-04-10 15:40:00,stop,-70.0804302064403,4.544320873613359,False,2025-04
long,18476.55,18476.55,2025-04-11 08:30:00,2546,18501.969333901627,18615.96299744268,0.9329064347111906,38.72583262296642,8,18505.449999999997,18501.969333901627,2025-04-11 08:50:00,stop,16.819103208395294,6.894756954505219,True,2025-04
long,18609.05,18609.05,2025-04-11 09:00:00,2552,18593.589835915096,18785.27073838207,0.7391098671967468,48.95020510613119,8,18622.75,18593.589835915096,2025-04-11 09:20:00,stop,-16.928412813295786,5.5016529896630475,False,2025-04
long,18491.05,18491.05,2025-04-11 10:10:00,2566,18453.33730238796,18681.45713925418,0.6825950838905772,52.890872015050206,6,18505.449999999997,18453.33730238796,2025-04-11 10:25:00,stop,-30.791261920619014,5.048759930389943,False,2025-04
short,18228.55,18228.55,2025-04-11 11:30:00,2582,18273.961635791322,17972.897638939055,0.5065650779391756,71.01454473915088,6,18217.52,18273.961635791322,2025-04-11 12:00:00,stop,-26.697527564564066,3.693578740587264,False,2025-04
long,18501.45,18501.45,2025-04-11 12:55:00,2599,18479.853066520114,18717.886200659494,0.5965034378523264,60.12116684985891,7,18505.449999999997,18479.853066520114,2025-04-11 13:45:00,stop,-17.297116479921478,4.41447141210117,False,2025-04
long,18503.15,18503.15,2025-04-11 15:30:00,2630,18424.32860114461,18706.19629484925,0.6344950885911542,56.40174856923561,6,18505.449999999997,18424.32860114461,2025-04-11 15:45:00,stop,-54.70785356901601,4.696063119386166,False,2025-04
long,18775.55,18775.55,2025-04-15 07:00:00,3074,18771.743040075606,18814.73131965978,3.2677075595825222,10.883699905494023,7,18795.55,18771.743040075606,2025-04-15 07:05:00,stop,-36.98123439209651,24.54120266812785,False,2025-04
long,18769.05,18769.05,2025-04-15 08:00:00,3086,18763.952915288173,18820.78688120322,2.4613692550640764,14.371355889783667,5,18795.55,18763.952915288173,2025-04-15 08:15:00,stop,-31.02483264684988,18.47902504670416,False,2025-04
long,18766.85,18766.85,2025-04-15 09:10:00,3100,18758.60677367612,18823.294518457464,2.2460970768962203,15.67903290485157,7,18795.55,18758.60677367612,2025-04-15 09:20:00,stop,-35.375953321274096,16.860866771019932,False,2025-04
long,18782.55,18782.55,2025-04-15 15:40:00,3178,18765.321245506744,18886.17939521965,1.2174786722706699,28.785943116569758,6,18795.55,18765.321245506744,2025-04-15 15:50:00,stop,-30.122582759668553,9.146941614342987,False,2025-04
short,18536.15,18536.15,2025-04-16 07:00:00,3347,18542.08940112275,18490.972694947624,2.781946236159675,12.54925140343805,8,18505.449999999997,18542.08940112275,2025-04-16 07:30:00,stop,-37.14972368862969,20.626629090156467,False,2025-04
short,18518.15,18518.15,2025-04-16 11:25:00,3400,18595.8055075292,18355.450216118603,0.7683867072998516,45.19438441149974,5,18505.449999999997,18595.8055075292,2025-04-16 11:40:00,stop,-65.36109985557324,5.691640121513899,False,2025-04
short,18542.35,18542.35,2025-04-16 12:55:00,3418,18553.273746358012,18418.94314138893,1.0053043707010718,34.27968294751922,7,18505.449999999997,18553.273746358012,2025-04-16 14:00:00,stop,-18.437972157368883,7.456282199227608,False,2025-04
short,18541.15,18541.15,2025-04-16 14:20:00,3435,18577.114901984492,18453.107941069786,1.405591035174284,24.45612748061589,7,18505.449999999997,18577.114901984492,2025-04-16 14:40:00,stop,-60.97645349905105,10.424509688728671,False,2025-04
short,18532.85,18532.85,2025-04-16 15:35:00,3450,18534.539162247056,18450.998769888243,1.5005820519263189,22.736452808820996,7,18505.449999999997,18534.539162247056,2025-04-16 15:40:00,stop,-13.658751383143144,11.12402483241707,False,2025-04
long,18473.95,18473.95,2025-04-17 09:25:00,3649,18450.37900022683,18545.36949897928,1.7159935016648689,19.838749716465916,6,18505.449999999997,18450.37900022683,2025-04-17 09:40:00,stop,-53.12815369853982,12.680471260032682,False,2025-04
long,18496.45,18496.45,2025-04-17 10:30:00,3662,18473.536461663243,18596.860922515392,1.2122469910715175,27.891922920942573,6,18505.449999999997,18473.536461663243,2025-04-17 11:00:00,stop,-36.74577424673803,8.968906343201908,False,2025-04
short,18002.15,18002.15,2025-04-21 14:25:00,3982,18006.006159174918,17904.697283712867,1.2431219992801652,27.070198968648175,9,17987.05,18006.006159174918,2025-04-21 14:35:00,stop,-13.745223782801553,8.951547479736572,False,2025-04
short,18011.45,18011.45,2025-04-21 15:25:00,3994,18027.11008546942,17940.52961538761,1.7045948383042258,19.70010683677438,7,17987.05,18027.11008546942,2025-04-21 15:35:00,stop,-38.97499073872423,12.28088988014986,False,2025-04
short,17987.85,17987.85,2025-04-22 12:40:00,4234,17991.204040215507,17934.056819030215,2.2355789948334763,14.942550269384249,5,17987.05,17991.204040215507,2025-04-22 12:55:00,stop,-23.583525702503856,16.085303848886138,False,2025-04
long,18608.15,18608.15,2025-04-23 07:00:00,4439,18598.55006557938,18670.699704892788,1.9155348400110892,17.374918025774253,8,18622.75,18598.55006557938,2025-04-23 07:20:00,stop,-32.64683269778241,14.257823853260943,False,2025-04
long,18594.15,18594.15,2025-04-23 08:00:00,4451,18592.59304529198,18638.506296186104,2.6886662950720788,12.3211933850281,6,18622.75,18592.59304529198,2025-04-23 08:05:00,stop,-24.183517402621334,19.9973857562058,False,2025-04
long,18620.65,18620.65,2025-04-23 09:35:00,4470,18619.7929527726,18680.30671252329,1.991070619915748,16.571309034246056,6,18622.75,18619.7929527726,2025-04-23 10:05:00,stop,-16.536453209851004,14.830011655493673,False,2025-04
long,18758.55,18758.55,2025-04-23 13:20:00,4515,18770.661203238684,18824.199585425915,1.8042064758049294,18.235995951643535,9,18795.55,18770.661203238684,2025-04-23 13:40:00,stop,8.313392358340055,13.537718954684225,True,2025-04
long,18788.55,18788.55,2025-04-23 14:20:00,4527,18770.62098071263,18858.880586793173,1.684431141859621,19.53627410921477,8,18795.55,18770.62098071263,2025-04-23 14:35:00,stop,-42.859405922803234,12.659207492154632,False,2025-04
long,18787.25,18787.25,2025-04-23 15:20:00,4539,18808.244559865376,18859.274480605807,1.63525489519217,20.006800168279405,9,18795.55,18808.244559865376,2025-04-23 15:30:00,stop,22.042679780381164,12.288777011879638,True,2025-04
short,18652.25,18652.25,2025-04-24 08:00:00,4724,18666.74912800002,18609.5039239999,2.7605097731516013,11.873910000028035,4,18622.75,18666.74912800002,2025-04-24 08:10:00,stop,-60.62087191274162,20.595887366506783,False,2025-04
short,18624.35,18624.35,2025-04-24 09:15:00,4739,18649.59934969575,18546.277926369123,1.4987189618791348,21.686687119687395,6,18622.75,18649.59934969575,2025-04-24 09:25:00,stop,-49.00674576320779,11.165066599069466,False,2025-04
short,18630.35,18630.35,2025-04-24 10:15:00,4751,18616.66062995132,18541.652165219068,1.3105601452847278,24.63828743914743,4,18622.75,18616.66062995132,2025-04-24 10:20:00,stop,8.174265118772132,9.766477681082131,True,2025-04
long,18587.25,18587.25,2025-04-24 11:00:00,4760,18539.100989884882,18683.54802023024,1.2076044899655998,26.749450063954782,4,18622.75,18539.100989884882,2025-04-24 11:05:00,stop,-67.12337942486029,8.978418622445238,False,2025-04
short,18521.85,18521.85,2025-04-24 11:25:00,4765,18519.36542567253,18423.23058447362,1.1690126609165217,27.394282090661548,6,18505.449999999997,18519.36542567253,2025-04-24 11:55:00,stop,-5.756412015641279,8.660910861438671,False,2025-04
long,18588.25,18588.25,2025-04-24 13:00:00,4784,18588.892095914256,18651.510568385846,1.820188027966604,17.57238010717927,8,18622.75,18588.892095914256,2025-04-24 13:05:00,stop,-12.36490874840494,13.533644044340091,False,2025-04
long,19278.35,19278.35,2025-04-25 10:10:00,5023,19271.712549359247,19369.868527883384,1.255246206908735,25.421813300940286,7,19281.985,19271.712549359247,2025-04-25 10:30:00,stop,-18.011265025531408,9.679630285183604,False,2025-04
short,19290.75,19290.75,2025-04-30 15:30:00,5906,19262.956655467893,19159.320050394483,0.871630630681825,36.50831933486563,7,19281.985,19262.956655467893,2025-04-30 15:35:00,stop,17.49976698774739,6.725763435530166,True,2025-04
long,20052.15,20052.15,2025-05-08 09:30:00,7472,20043.879625638267,20097.466684627812,2.5323186636757953,12.587967952169786,7,20056.002187500002,20043.879625638267,2025-05-08 09:35:00,stop,-41.25459682853764,20.311373476730644,False,2025-05
long,20173.75,20173.75,2025-05-08 12:40:00,7510,20166.70824046511,20213.537917907008,2.866109821466585,11.05219941861313,9,20212.85,20166.70824046511,2025-05-08 12:55:00,stop,-43.31052936768384,23.12807320432461,False,2025-05
long,20173.15,20173.15,2025-05-08 13:55:00,7525,20154.212249809178,20211.025500381653,2.9905426258150665,10.520972328236365,9,20212.85,20154.212249809178,2025-05-08 14:05:00,stop,-80.76561517148065,24.131465988784484,False,2025-05
short,21142.65,21142.65,2025-05-19 07:00:00,9353,21146.382490845863,21092.553791193626,2.2350725166418344,13.91561355732642,7,21119.11953125,21146.382490845863,2025-05-19 07:30:00,stop,-27.244530085792867,18.902142377590994,False,2025-05
short,21141.55,21141.55,2025-05-19 08:00:00,9365,21149.416114111114,21107.95248649998,3.3173562404602412,9.332642638894184,7,21119.11953125,21149.416114111114,2025-05-19 08:10:00,stop,-54.14832386488115,28.053621130200884,False,2025-05
short,21160.45,21160.45,2025-05-19 09:25:00,9382,21159.50234346687,21105.76445439909,2.020652221295121,15.190429333586287,8,21119.11953125,21159.50234346687,2025-05-19 09:30:00,stop,-15.188279839744698,17.10316411844174,False,2025-05
