direction,entry_time,entry_price,exit_time,exit_price,exit_reason,qty,pnl,fees,r_value,win
short,2026-03-03 07:41:00+00:00,5335.7998046875,2026-03-03 07:51:00+00:00,5344.728515625,stop_loss,5.599912501367166,-54.186701684348684,4.186701684348682,8.9287109375,False
short,2026-03-03 09:12:00+00:00,5310.2001953125,2026-03-03 09:25:00+00:00,5285.086565290179,full_2r,3.960324847294457,71.65460480048445,2.9389949368829402,12.556815011160325,True
short,2026-03-03 10:05:00+00:00,5290.89990234375,2026-03-03 10:27:00+00:00,5290.89990234375,stop_be,3.2614567356703117,22.629577057277487,2.414092700512853,15.357352120535325,True
short,2026-03-05 10:31:00+00:00,5166.2998046875,2026-03-05 10:38:00+00:00,5166.2998046875,stop_be,8.839957344832289,18.708218930925167,6.392024769508373,5.6788155691965585,True
short,2026-03-05 11:52:00+00:00,5173.89990234375,2026-03-05 12:03:00+00:00,5178.107352120535,stop_loss,11.95356597552747,-58.95606661419814,8.662038118676445,4.2074497767853245,False
short,2026-03-09 08:05:00+00:00,5113.89990234375,2026-03-09 08:18:00+00:00,5113.89990234375,stop_be,6.481091002983059,20.361262964297996,4.638361116927357,7.714634486606883,True
long,2026-03-13 13:01:00+00:00,5125.7998046875,2026-03-13 13:10:00+00:00,5118.250034877232,stop_loss,6.636103581480313,-54.85969478531607,4.7586403080438835,7.549769810268117,False
short,2026-03-16 10:54:00+00:00,5000.89990234375,2026-03-16 11:10:00+00:00,5007.228445870535,stop_loss,7.873337015453195,-55.342571719903745,5.515815716558138,6.3285435267853245,False
short,2026-03-16 11:01:00+00:00,5004.2998046875,2026-03-16 11:10:00+00:00,5009.1787109375,stop_loss,10.209865209797076,-56.969513798537626,7.156538614801111,4.87890625,False
long,2026-03-16 13:30:00+00:00,5028.7998046875,2026-03-16 13:41:00+00:00,5028.7998046875,stop_be,6.464350479142715,20.07976408625934,4.552833701617372,7.621058872768117,True
short,2026-03-16 15:40:00+00:00,5004.2998046875,2026-03-16 15:53:00+00:00,4992.013741629464,full_2r,8.034907625426454,68.41394684367164,5.624089469942566,6.143031529018117,True
short,2026-03-16 15:01:00+00:00,5000.10009765625,2026-03-16 17:00:00+00:00,5000.10009765625,stop_be,3.9447898511095967,21.92311681712892,2.7596803809634407,12.514125279018117,True
short,2026-03-17 10:32:00+00:00,5011.2998046875,2026-03-17 10:42:00+00:00,5000.970772879464,full_2r,9.646069571734628,67.96364186758609,6.762277704146987,5.164515904018117,True
long,2026-03-17 13:01:00+00:00,5019.7001953125,2026-03-17 13:40:00+00:00,5033.672154017857,full_2r,7.179680241195715,70.18480246719636,5.050844418543601,6.9859793526784415,True
short,2026-03-18 14:10:00+00:00,4888.89990234375,2026-03-18 16:52:00+00:00,4888.89990234375,stop_be,3.1510983081187334,23.09902215933187,2.1549888087494464,16.02870396205344,True
short,2026-03-19 14:03:00+00:00,4638.7998046875,2026-03-19 14:27:00+00:00,4600.513602120536,full_2r,2.644478357884524,74.22318224312116,1.7120933273177763,19.143101283481883,True
long,2026-03-20 08:57:00+00:00,4696.60009765625,2026-03-20 09:34:00+00:00,4679.678815569197,stop_loss,3.0136388422477247,-52.97260324118001,1.977970283005114,16.92128208705344,False
short,2026-03-20 15:03:00+00:00,4570.39990234375,2026-03-20 15:31:00+00:00,4570.39990234375,stop_be,2.5104922240335448,23.760307034754398,1.604577936230103,20.207101004464675,True
short,2026-03-23 09:24:00+00:00,4290.2001953125,2026-03-23 09:39:00+00:00,4248.02880859375,full_2r,2.411520010772364,74.82976980874906,1.4430874069650836,21.085693359375,True
long,2026-03-23 11:49:00+00:00,4395.2998046875,2026-03-23 12:01:00+00:00,4363.249895368303,stop_loss,1.5982173246120932,-52.202584937023886,0.9798646108373665,32.04990931919656,False
long,2026-03-23 13:31:00+00:00,4416.39990234375,2026-03-23 13:53:00+00:00,4463.456821986607,full_2r,2.165960194091763,75.09800562842152,1.3445554738305814,23.52845982142844,True
long,2026-03-23 14:46:00+00:00,4480.2001953125,2026-03-23 14:50:00+00:00,4460.592843191965,stop_loss,2.6182626350590517,-52.975851533479364,1.6386541038358626,19.607352120535325,False
long,2026-03-24 12:26:00+00:00,4403.5,2026-03-24 12:33:00+00:00,4390.306989397322,stop_loss,3.8711647940014102,-53.455277493558,2.3829593215818905,13.193010602678442,False
long,2026-03-25 07:59:00+00:00,4539.0,2026-03-25 08:08:00+00:00,4549.485142299107,full_2r,9.690863573465446,70.04407198098076,6.163490695781726,5.2425711495534415,True
long,2026-03-25 13:53:00+00:00,4547.60009765625,2026-03-25 14:00:00+00:00,4533.428466796875,stop_loss,3.6096947946236067,-53.44984405213864,2.294581907725431,14.171630859375,False
short,2026-03-26 11:43:00+00:00,4441.39990234375,2026-03-26 11:50:00+00:00,4418.885184151786,full_2r,4.520421929359623,73.52658241540037,2.805436970828416,11.257359095981883,True
long,2026-03-27 11:02:00+00:00,4442.2001953125,2026-03-27 11:07:00+00:00,4434.664202008928,stop_loss,6.801445247030376,-55.48193133768817,4.22628550145865,7.5359933035715585,False
long,2026-03-30 08:21:00+00:00,4560.5,2026-03-30 08:23:00+00:00,4556.08576311384,stop_loss,11.548595486429349,-58.34809946322905,7.3698632836879785,4.4142368861603245,False
long,2026-03-30 09:18:00+00:00,4557.5,2026-03-30 10:26:00+00:00,4557.5,stop_be,5.1494509770736245,22.055866617841758,3.287381223270704,9.843087332589675,True
long,2026-03-30 10:49:00+00:00,4560.7998046875,2026-03-30 11:02:00+00:00,4555.793073381697,stop_loss,10.145696246258346,-57.27136776523258,6.474592749918455,5.0067313058034415,False
long,2026-03-30 11:05:00+00:00,4558.0,2026-03-30 11:18:00+00:00,4571.342982700893,full_2r,7.571083513899338,70.92906385893397,4.8365634057979765,6.6714913504465585,True
long,2026-03-30 15:24:00+00:00,4560.10009765625,2026-03-30 15:37:00+00:00,4578.971749441964,full_2r,5.390631840111479,72.85079950273392,3.4467957409400314,9.435825892856883,True
