<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.12.05	00:00:00	25599.16	25641.75	25566.66	25639.75	19830	0	130
2025.12.05	04:00:00	25639.85	25682.05	25637.45	25681.55	18226	0	130
2025.12.05	08:00:00	25681.25	25712.85	25661.95	25676.15	23292	0	130
2025.12.05	12:00:00	25675.85	25690.65	25538.25	25571.75	28053	0	130
2025.12.05	16:00:00	25572.05	25825.95	25569.55	25689.15	96361	0	60
2025.12.05	20:00:00	25688.65	25719.05	25639.05	25697.86	53446	0	60
