<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.12.05	01:05:00	25599.16	25600.26	25587.46	25589.26	413	0	168
2025.12.05	01:10:00	25589.46	25594.06	25582.26	25585.86	526	0	158
2025.12.05	01:15:00	25585.76	25589.66	25584.16	25589.36	318	0	158
2025.12.05	01:20:00	25588.96	25593.16	25586.36	25588.16	264	0	158
2025.12.05	01:25:00	25588.06	25593.06	25587.66	25590.36	268	0	148
2025.12.05	01:30:00	25591.26	25592.26	25570.76	25572.76	467	0	158
2025.12.05	01:35:00	25572.26	25579.46	25571.86	25576.86	384	0	158
2025.12.05	01:40:00	25576.76	25581.86	25574.26	25575.06	315	0	148
2025.12.05	01:45:00	25575.26	25577.06	25566.66	25576.76	483	0	158
2025.12.05	01:50:00	25576.56	25583.76	25576.06	25581.76	426	0	158
2025.12.05	01:55:00	25581.66	25583.26	25576.36	25580.56	388	0	148
2025.12.05	02:00:00	25579.16	25586.85	25571.85	25580.35	1055	0	140
2025.12.05	02:05:00	25580.55	25584.05	25569.55	25575.15	932	0	160
2025.12.05	02:10:00	25575.35	25579.05	25572.65	25575.35	499	0	150
2025.12.05	02:15:00	25575.55	25582.45	25575.15	25580.45	400	0	140
2025.12.05	02:20:00	25581.15	25601.65	25579.15	25600.15	679	0	150
2025.12.05	02:25:00	25599.85	25602.55	25591.95	25596.95	756	0	160
2025.12.05	02:30:00	25597.25	25605.35	25592.75	25601.15	666	0	150
2025.12.05	02:35:00	25601.35	25614.65	25599.55	25607.55	713	0	150
2025.12.05	02:40:00	25607.35	25607.55	25598.25	25606.55	653	0	150
2025.12.05	02:45:00	25606.45	25611.35	25600.05	25608.35	741	0	150
2025.12.05	02:50:00	25608.95	25609.65	25605.65	25607.55	538	0	140
2025.12.05	02:55:00	25607.45	25612.75	25604.95	25612.45	491	0	140
2025.12.05	03:00:00	25612.95	25629.35	25611.65	25622.45	898	0	140
2025.12.05	03:05:00	25622.75	25625.05	25611.75	25618.25	848	0	160
2025.12.05	03:10:00	25618.15	25621.85	25616.25	25621.35	686	0	150
2025.12.05	03:15:00	25621.95	25624.95	25617.65	25621.95	649	0	150
2025.12.05	03:20:00	25622.15	25629.15	25620.95	25623.95	618	0	140
2025.12.05	03:25:00	25623.65	25629.65	25620.05	25625.45	569	0	150
2025.12.05	03:30:00	25625.05	25632.65	25623.95	25626.95	717	0	150
2025.12.05	03:35:00	25626.65	25632.15	25622.85	25629.55	555	0	140
2025.12.05	03:40:00	25629.95	25639.15	25629.45	25634.45	630	0	140
2025.12.05	03:45:00	25634.35	25640.85	25632.35	25640.75	488	0	140
2025.12.05	03:50:00	25640.85	25641.75	25636.25	25638.75	446	0	130
2025.12.05	03:55:00	25638.95	25640.65	25634.85	25639.75	351	0	130
2025.12.05	04:00:00	25639.85	25644.75	25637.45	25639.15	432	0	140
2025.12.05	04:05:00	25639.45	25648.45	25638.65	25648.45	466	0	150
2025.12.05	04:10:00	25648.05	25649.95	25642.35	25649.85	391	0	130
2025.12.05	04:15:00	25649.75	25655.05	25646.85	25652.95	515	0	140
2025.12.05	04:20:00	25653.15	25655.45	25649.45	25653.25	344	0	130
2025.12.05	04:25:00	25652.75	25670.75	25652.75	25669.55	609	0	130
2025.12.05	04:30:00	25669.35	25669.35	25655.75	25657.15	567	0	160
2025.12.05	04:35:00	25656.85	25657.75	25652.65	25654.15	514	0	140
2025.12.05	04:40:00	25654.95	25656.75	25651.95	25654.25	358	0	140
2025.12.05	04:45:00	25654.35	25655.85	25650.45	25652.25	301	0	130
2025.12.05	04:50:00	25652.65	25654.65	25648.55	25649.25	291	0	130
2025.12.05	04:55:00	25648.55	25649.25	25640.45	25647.25	425	0	130
2025.12.05	05:00:00	25646.95	25653.25	25644.35	25646.95	419	0	140
2025.12.05	05:05:00	25646.85	25649.55	25645.45	25647.25	352	0	130
2025.12.05	05:10:00	25646.95	25647.95	25641.25	25645.35	304	0	130
2025.12.05	05:15:00	25645.75	25657.95	25645.15	25656.45	393	0	140
2025.12.05	05:20:00	25656.75	25656.85	25649.95	25652.75	314	0	140
2025.12.05	05:25:00	25653.15	25654.35	25646.75	25651.15	360	0	140
2025.12.05	05:30:00	25651.65	25651.95	25641.65	25647.65	484	0	140
2025.12.05	05:35:00	25647.85	25650.85	25643.75	25649.35	394	0	140
2025.12.05	05:40:00	25648.95	25654.75	25647.95	25650.95	387	0	130
2025.12.05	05:45:00	25650.85	25652.95	25648.45	25649.95	398	0	130
2025.12.05	05:50:00	25650.15	25657.55	25649.45	25656.55	344	0	130
2025.12.05	05:55:00	25656.75	25664.85	25656.15	25658.75	439	0	130
2025.12.05	06:00:00	25658.25	25670.35	25655.65	25669.15	444	0	140
2025.12.05	06:05:00	25668.15	25674.45	25667.55	25672.65	474	0	130
2025.12.05	06:10:00	25671.95	25675.15	25670.15	25670.45	389	0	130
2025.12.05	06:15:00	25670.35	25671.95	25661.75	25666.75	389	0	140
2025.12.05	06:20:00	25665.95	25669.35	25659.95	25660.15	348	0	140
2025.12.05	06:25:00	25659.75	25664.75	25655.95	25664.25	517	0	140
2025.12.05	06:30:00	25664.75	25669.35	25661.45	25667.95	445	0	140
2025.12.05	06:35:00	25667.85	25670.35	25665.85	25667.95	370	0	130
2025.12.05	06:40:00	25667.75	25667.85	25661.25	25661.55	334	0	130
2025.12.05	06:45:00	25661.45	25664.05	25657.85	25663.05	245	0	130
2025.12.05	06:50:00	25663.55	25668.95	25662.75	25668.35	257	0	130
2025.12.05	06:55:00	25668.45	25672.75	25667.75	25670.25	323	0	130
2025.12.05	07:00:00	25670.15	25677.55	25669.65	25672.75	440	0	130
2025.12.05	07:05:00	25672.45	25678.95	25670.35	25676.45	410	0	140
2025.12.05	07:10:00	25676.35	25677.95	25673.35	25673.45	379	0	130
2025.12.05	07:15:00	25673.65	25677.05	25672.15	25674.05	282	0	130
2025.12.05	07:20:00	25673.75	25675.55	25670.25	25672.05	293	0	130
2025.12.05	07:25:00	25672.45	25676.05	25671.05	25671.05	282	0	130
2025.12.05	07:30:00	25671.15	25671.95	25666.75	25669.95	348	0	130
2025.12.05	07:35:00	25669.75	25674.15	25665.95	25673.45	337	0	130
2025.12.05	07:40:00	25673.25	25679.05	25672.45	25677.75	349	0	130
2025.12.05	07:45:00	25677.95	25679.45	25675.75	25676.05	265	0	130
2025.12.05	07:50:00	25675.95	25677.25	25673.55	25676.05	226	0	130
2025.12.05	07:55:00	25676.45	25682.05	25675.75	25681.55	279	0	130
2025.12.05	08:00:00	25681.25	25684.75	25679.25	25682.75	349	0	130
2025.12.05	08:05:00	25683.05	25687.65	25681.65	25683.55	315	0	130
2025.12.05	08:10:00	25683.45	25688.25	25680.65	25681.95	369	0	130
2025.12.05	08:15:00	25682.15	25687.75	25679.25	25679.45	321	0	130
2025.12.05	08:20:00	25679.25	25681.75	25677.15	25679.75	331	0	130
2025.12.05	08:25:00	25680.45	25680.65	25675.55	25678.25	310	0	130
2025.12.05	08:30:00	25678.55	25681.75	25661.95	25668.05	593	0	130
2025.12.05	08:35:00	25668.25	25670.65	25664.75	25668.75	463	0	140
2025.12.05	08:40:00	25668.45	25681.45	25668.25	25675.45	447	0	140
2025.12.05	08:45:00	25675.15	25678.55	25673.55	25673.65	316	0	130
2025.12.05	08:50:00	25673.55	25674.55	25667.25	25668.45	261	0	130
2025.12.05	08:55:00	25668.95	25673.75	25667.75	25670.75	200	0	130
2025.12.05	09:00:00	25670.55	25674.85	25664.05	25674.65	485	0	130
2025.12.05	09:05:00	25674.85	25687.05	25673.85	25675.65	476	0	150
2025.12.05	09:10:00	25676.15	25676.65	25669.05	25672.15	463	0	150
2025.12.05	09:15:00	25672.05	25674.85	25668.35	25670.45	312	0	140
