<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.12.04	25603.76	25686.55	25444.45	25581.76	235337	0	60
2025.12.05	25599.16	25825.95	25538.25	25697.86	239208	0	60
