<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.12.05	01:00:00	25599.16	25600.26	25582.26	25585.86	939	0	158
2025.12.05	01:15:00	25585.76	25593.16	25584.16	25590.36	850	0	148
2025.12.05	01:30:00	25591.26	25592.26	25570.76	25575.06	1166	0	148
2025.12.05	01:45:00	25575.26	25583.76	25566.66	25580.56	1297	0	148
2025.12.05	02:00:00	25579.16	25586.85	25569.55	25575.35	2486	0	140
2025.12.05	02:15:00	25575.55	25602.55	25575.15	25596.95	1835	0	140
2025.12.05	02:30:00	25597.25	25614.65	25592.75	25606.55	2032	0	150
2025.12.05	02:45:00	25606.45	25612.75	25600.05	25612.45	1770	0	140
2025.12.05	03:00:00	25612.95	25629.35	25611.65	25621.35	2432	0	140
2025.12.05	03:15:00	25621.95	25629.65	25617.65	25625.45	1836	0	140
2025.12.05	03:30:00	25625.05	25639.15	25622.85	25634.45	1902	0	140
2025.12.05	03:45:00	25634.35	25641.75	25632.35	25639.75	1285	0	130
2025.12.05	04:00:00	25639.85	25649.95	25637.45	25649.85	1289	0	130
2025.12.05	04:15:00	25649.75	25670.75	25646.85	25669.55	1468	0	130
2025.12.05	04:30:00	25669.35	25669.35	25651.95	25654.25	1439	0	140
2025.12.05	04:45:00	25654.35	25655.85	25640.45	25647.25	1017	0	130
2025.12.05	05:00:00	25646.95	25653.25	25641.25	25645.35	1075	0	130
2025.12.05	05:15:00	25645.75	25657.95	25645.15	25651.15	1067	0	140
2025.12.05	05:30:00	25651.65	25654.75	25641.65	25650.95	1265	0	130
2025.12.05	05:45:00	25650.85	25664.85	25648.45	25658.75	1181	0	130
2025.12.05	06:00:00	25658.25	25675.15	25655.65	25670.45	1307	0	130
2025.12.05	06:15:00	25670.35	25671.95	25655.95	25664.25	1254	0	140
2025.12.05	06:30:00	25664.75	25670.35	25661.25	25661.55	1149	0	130
2025.12.05	06:45:00	25661.45	25672.75	25657.85	25670.25	825	0	130
2025.12.05	07:00:00	25670.15	25678.95	25669.65	25673.45	1229	0	130
2025.12.05	07:15:00	25673.65	25677.05	25670.25	25671.05	857	0	130
2025.12.05	07:30:00	25671.15	25679.05	25665.95	25677.75	1034	0	130
2025.12.05	07:45:00	25677.95	25682.05	25673.55	25681.55	770	0	130
2025.12.05	08:00:00	25681.25	25688.25	25679.25	25681.95	1033	0	130
2025.12.05	08:15:00	25682.15	25687.75	25675.55	25678.25	962	0	130
2025.12.05	08:30:00	25678.55	25681.75	25661.95	25675.45	1503	0	130
2025.12.05	08:45:00	25675.15	25678.55	25667.25	25670.75	777	0	130
2025.12.05	09:00:00	25670.55	25687.05	25664.05	25672.15	1424	0	130
2025.12.05	09:15:00	25672.05	25684.75	25668.35	25682.55	924	0	130
2025.12.05	09:30:00	25682.25	25686.45	25673.35	25676.55	956	0	130
2025.12.05	09:45:00	25676.35	25686.65	25672.95	25683.15	821	0	130
2025.12.05	10:00:00	25683.75	25702.45	25679.55	25692.35	2388	0	140
2025.12.05	10:15:00	25691.85	25712.85	25688.65	25695.45	2201	0	150
2025.12.05	10:30:00	25695.55	25706.15	25692.55	25703.95	1782	0	140
2025.12.05	10:45:00	25703.85	25705.25	25682.15	25682.85	1885	0	140
2025.12.05	11:00:00	25682.15	25693.85	25670.35	25675.15	2079	0	150
2025.12.05	11:15:00	25675.45	25686.65	25671.35	25686.15	1870	0	150
2025.12.05	11:30:00	25685.95	25686.65	25664.35	25669.45	1520	0	140
2025.12.05	11:45:00	25669.15	25678.25	25669.15	25676.15	1167	0	130
2025.12.05	12:00:00	25675.85	25690.35	25670.45	25680.65	1353	0	130
2025.12.05	12:15:00	25680.75	25685.45	25677.25	25683.95	1029	0	130
2025.12.05	12:30:00	25684.25	25689.65	25678.75	25687.95	1097	0	130
2025.12.05	12:45:00	25687.75	25688.15	25671.75	25674.45	1114	0	130
2025.12.05	13:00:00	25674.25	25682.75	25662.75	25678.75	1535	0	140
2025.12.05	13:15:00	25678.95	25684.85	25668.65	25680.75	1352	0	140
2025.12.05	13:30:00	25681.75	25683.15	25673.15	25676.45	1331	0	140
2025.12.05	13:45:00	25676.65	25680.05	25674.45	25677.25	907	0	130
2025.12.05	14:00:00	25677.15	25690.65	25670.65	25671.35	1935	0	140
2025.12.05	14:15:00	25671.55	25674.85	25647.15	25668.85	2260	0	160
2025.12.05	14:30:00	25669.15	25675.15	25662.85	25663.15	1605	0	150
2025.12.05	14:45:00	25662.85	25666.65	25652.15	25661.15	1591	0	140
2025.12.05	15:00:00	25660.95	25667.85	25658.65	25662.45	1374	0	140
2025.12.05	15:15:00	25662.65	25662.65	25634.45	25645.65	1883	0	140
2025.12.05	15:30:00	25644.85	25646.85	25564.75	25572.35	3702	0	160
2025.12.05	15:45:00	25572.45	25584.15	25538.25	25571.75	3985	0	180
2025.12.05	16:00:00	25572.05	25610.55	25569.55	25609.85	3446	0	160
2025.12.05	16:15:00	25610.25	25642.15	25602.15	25638.15	3326	0	160
2025.12.05	16:30:00	25637.95	25735.35	25633.45	25667.15	7660	0	60
2025.12.05	16:45:00	25666.95	25761.35	25665.85	25748.26	7121	0	100
2025.12.05	17:00:00	25748.16	25818.65	25725.45	25816.15	6847	0	80
2025.12.05	17:15:00	25816.35	25825.95	25785.95	25795.65	6090	0	60
