period,trades,pnl,end_equity,max_dd_amount,max_dd_pct
2021,183,4393.983306613365,14393.983306613361,739.5967091322709,-7.338521982228574
2022,229,38177.41951005292,52571.40281666629,1559.787409028053,-3.9842583334090964
2023,294,57154.266048623685,109725.6688652899,3744.5127620534768,-4.28974701590562
2024,240,138425.38482698257,248151.05369227246,7796.528521668166,-4.114866949398566
2025,254,154554.71113100738,402705.7648232799,12954.557702751888,-3.4074833084527634
2026,87,100494.90849243692,503200.6733157167,10613.192198764882,-2.261088077374662
