branch,mode,month,worst_intramonth_dd_amt,worst_intramonth_dd_pct
p2_filter_test1,full,2020-07,-313.25,-0.235
p2_filter_test1,full,2020-08,-752.35,-0.552
p2_filter_test1,full,2020-09,-1229.02,-0.882
p2_filter_test1,full,2020-10,-1228.5,-0.882
p2_filter_test1,full,2020-11,-485.91,-0.342
p2_filter_test1,full,2020-12,-2065.98,-1.422
p2_filter_test1,full,2021-01,-2001.22,-1.377
p2_filter_test1,full,2021-02,-809.44,-0.54
p2_filter_test1,full,2021-03,-2451.57,-1.635
p2_filter_test1,full,2021-04,-2164.63,-1.444
p2_filter_test1,full,2021-05,-771.73,-0.492
p2_filter_test1,full,2021-06,-1801.07,-1.145
p2_filter_test1,full,2021-07,-1639.8,-1.033
p2_filter_test1,full,2021-08,-2811.33,-1.77
p2_filter_test1,full,2021-09,-1917.12,-1.207
p2_filter_test1,full,2021-10,-1598.56,-0.956
p2_filter_test1,full,2021-11,-1890.74,-1.13
p2_filter_test1,full,2021-12,-1392.6,-0.833
p2_filter_test1,full,2022-01,-1402.98,-0.791
p2_filter_test1,full,2022-02,-1297.75,-0.732
p2_filter_test1,full,2022-03,-688.72,-0.377
p2_filter_test1,full,2022-04,-780.93,-0.427
p2_filter_test1,full,2022-05,-638.81,-0.34
p2_filter_test1,full,2022-06,-1029.59,-0.519
p2_filter_test1,full,2022-07,-1342.43,-0.673
p2_filter_test1,full,2022-08,-2434.64,-1.205
p2_filter_test1,full,2022-09,-2082.39,-1.031
p2_filter_test1,full,2022-10,-2680.51,-1.289
p2_filter_test1,full,2022-11,-2269.59,-1.088
p2_filter_test1,full,2022-12,-1647.96,-0.752
p2_filter_test1,full,2023-01,-2859.66,-1.282
p2_filter_test1,full,2023-02,-2554.28,-1.105
p2_filter_test1,full,2023-03,-2480.47,-1.073
p2_filter_test1,full,2023-04,-2502.1,-1.038
p2_filter_test1,full,2023-05,-1471.53,-0.575
p2_filter_test1,full,2023-06,-1305.05,-0.491
p2_filter_test1,full,2023-07,-2138.67,-0.801
p2_filter_test1,full,2023-08,-1055.32,-0.389
p2_filter_test1,full,2023-09,-1917.91,-0.676
p2_filter_test1,full,2023-10,-2220.49,-0.782
p2_filter_test1,full,2023-11,-3304.39,-1.164
p2_filter_test1,full,2023-12,-4558.71,-1.605
p2_filter_test1,full,2024-01,-2250.87,-0.772
p2_filter_test1,full,2024-02,-1719.68,-0.573
p2_filter_test1,full,2024-03,-2737.47,-0.888
p2_filter_test1,full,2024-04,-2509.73,-0.804
p2_filter_test1,full,2024-05,-5744.54,-1.84
p2_filter_test1,full,2024-06,-1925.71,-0.617
p2_filter_test1,full,2024-07,-1734.09,-0.528
p2_filter_test1,full,2024-08,-2837.13,-0.864
p2_filter_test1,full,2024-09,-2333.29,-0.674
p2_filter_test1,full,2024-10,-3915.1,-1.107
p2_filter_test1,full,2024-11,-5862.33,-1.591
p2_filter_test1,full,2024-12,-7184.3,-1.95
p2_filter_test1,full,2025-01,-1299.27,-0.345
p2_filter_test1,full,2025-02,-1237.5,-0.315
p2_filter_test1,full,2025-03,-2775.95,-0.698
p2_filter_test1,full,2025-04,-2070.2,-0.514
p2_filter_test1,full,2025-05,-1968.06,-0.455
p2_filter_test1,full,2025-06,-3420.36,-0.775
p2_filter_test1,full,2025-07,-3014.99,-0.671
p2_filter_test1,full,2025-08,-3459.32,-0.734
p2_filter_test1,full,2025-09,-3424.87,-0.727
p2_filter_test1,full,2025-10,-3251.38,-0.682
p2_filter_test1,full,2025-11,-1322.02,-0.27
p2_filter_test1,full,2025-12,-3370.38,-0.676
p2_filter_test1,full,2026-01,-6728.88,-1.349
p2_filter_test1,full,2026-02,-7235.19,-1.451
p2_filter_test1,full,2026-03,-1833.37,-0.368
p2_filter_test2,full,2011-09,-87.33,-0.194
p2_filter_test2,full,2011-10,-77.67,-0.172
p2_filter_test2,full,2011-11,-261.86,-0.575
p2_filter_test2,full,2011-12,-399.2,-0.877
p2_filter_test2,full,2012-01,-447.61,-0.983
p2_filter_test2,full,2012-02,-399.4,-0.877
p2_filter_test2,full,2012-03,-197.27,-0.431
p2_filter_test2,full,2012-04,-171.67,-0.375
p2_filter_test2,full,2012-05,-173.04,-0.376
p2_filter_test2,full,2012-06,-139.68,-0.304
p2_filter_test2,full,2012-07,-148.85,-0.316
p2_filter_test2,full,2012-08,-69.9,-0.148
p2_filter_test2,full,2012-09,-69.27,-0.145
p2_filter_test2,full,2012-10,-219.15,-0.453
p2_filter_test2,full,2012-11,-187.0,-0.386
p2_filter_test2,full,2012-12,-140.15,-0.289
p2_filter_test2,full,2013-01,-99.1,-0.202
p2_filter_test2,full,2013-02,-256.46,-0.52
p2_filter_test2,full,2013-03,-338.01,-0.685
p2_filter_test2,full,2013-04,-290.46,-0.578
p2_filter_test2,full,2013-05,-244.58,-0.487
p2_filter_test2,full,2013-06,-151.8,-0.3
p2_filter_test2,full,2013-07,-172.0,-0.339
p2_filter_test2,full,2013-08,-205.72,-0.402
p2_filter_test2,full,2013-09,-218.0,-0.426
p2_filter_test2,full,2013-10,-197.61,-0.383
p2_filter_test2,full,2013-11,-53.32,-0.103
p2_filter_test2,full,2013-12,-342.66,-0.653
p2_filter_test2,full,2014-01,-202.79,-0.382
p2_filter_test2,full,2014-02,-178.26,-0.327
p2_filter_test2,full,2014-03,-320.77,-0.588
p2_filter_test2,full,2014-04,-178.93,-0.324
p2_filter_test2,full,2014-05,-119.67,-0.211
p2_filter_test2,full,2014-06,-285.89,-0.498
p2_filter_test2,full,2014-07,-249.97,-0.431
p2_filter_test2,full,2014-08,-209.84,-0.354
p2_filter_test2,full,2014-09,-173.07,-0.283
p2_filter_test2,full,2014-10,-136.11,-0.219
p2_filter_test2,full,2014-11,-285.63,-0.453
p2_filter_test2,full,2014-12,-394.11,-0.623
p2_filter_test2,full,2015-01,-110.88,-0.174
p2_filter_test2,full,2015-02,-100.3,-0.155
p2_filter_test2,full,2015-03,-110.09,-0.168
p2_filter_test2,full,2015-04,-212.62,-0.319
p2_filter_test2,full,2015-05,-369.94,-0.536
p2_filter_test2,full,2015-06,-629.96,-0.903
p2_filter_test2,full,2015-07,-253.67,-0.355
p2_filter_test2,full,2015-08,-735.32,-1.017
p2_filter_test2,full,2015-09,-800.12,-1.106
p2_filter_test2,full,2015-10,-466.8,-0.645
p2_filter_test2,full,2015-11,-572.85,-0.776
p2_filter_test2,full,2015-12,-304.08,-0.412
