branch,mode,start,end,months,start_cap,final_equity,net_return_pct,max_dd_pct,max_dd_amt,positive_months,negative_months,flat_months,positive_month_ratio_pct,avg_monthly_pnl,median_monthly_pnl,best_month,best_month_pnl,worst_month,worst_month_pnl,worst_intramonth_dd_month,worst_intramonth_dd_amt,worst_intramonth_dd_pct
p2_filter_test3,full,2011-09-08 10:15:00,2026-03-31 10:47:00,175,45000.0,1148655.7,2452.57,-2.928,-15807.32,155,20,0,88.57,6306.6,1470.86,2025-07,64930.9,2026-01,-6132.75,2023-12,-15807.32,-2.928
p2_filter_test2,full,2011-09-08 10:15:00,2026-03-31 10:47:00,175,45000.0,1117228.59,2382.73,-3.034,-16076.61,152,23,0,86.86,6127.02,1470.86,2025-07,62911.6,2026-01,-6467.1,2021-08,-7712.68,-3.034
p2_filter_test1,full,2011-09-08 10:15:00,2026-03-31 10:47:00,175,45000.0,510235.84,1033.86,-2.079,-7235.19,152,23,0,86.86,2658.49,936.92,2025-07,21492.0,2025-12,-3250.93,2020-02,-2590.09,-2.079
p2_filter_test3,policy,2022-01-11 13:00:00,2026-03-26 19:27:00,51,15000.0,99866.65,565.78,-2.285,-1745.17,50,1,0,98.04,1664.05,1331.79,2026-03,7663.66,2022-03,-41.06,2025-08,-1745.17,-2.285
p2_filter_test2,policy,2022-01-11 13:00:00,2026-03-26 19:27:00,51,15000.0,98890.53,559.27,-2.299,-1740.95,50,1,0,98.04,1644.91,1326.73,2026-03,7615.96,2022-03,-41.06,2025-08,-1740.95,-2.299
p2_filter_test1,policy,2022-01-11 13:00:00,2026-03-26 19:27:00,51,15000.0,64008.02,326.72,-1.875,-976.26,50,1,0,98.04,960.94,886.76,2026-03,3970.84,2022-03,-14.02,2025-08,-976.26,-1.875
