branch,mode,month,monthly_pnl,monthly_return_on_mode_start_pct,month_end_equity,month_end_drawdown_amt,month_end_drawdown_pct
p2_filter_test1,full,2014-08,339.12,0.754,56268.32,-98.43,-0.175
p2_filter_test1,full,2014-09,1204.97,2.678,57473.29,0.0,0.0
p2_filter_test1,full,2014-10,942.53,2.095,58415.82,0.0,0.0
p2_filter_test1,full,2014-11,129.34,0.287,58545.16,0.0,0.0
p2_filter_test1,full,2014-12,363.33,0.807,58908.49,-119.9,-0.203
p2_filter_test1,full,2015-01,475.23,1.056,59383.72,-16.12,-0.027
p2_filter_test1,full,2015-02,558.52,1.241,59942.24,-55.8,-0.093
p2_filter_test1,full,2015-03,740.58,1.646,60682.83,0.0,0.0
p2_filter_test1,full,2015-04,1849.11,4.109,62531.94,0.0,0.0
p2_filter_test1,full,2015-05,110.42,0.245,62642.36,-175.21,-0.279
p2_filter_test1,full,2015-06,741.38,1.648,63383.74,0.0,0.0
p2_filter_test1,full,2015-07,506.16,1.125,63889.9,-137.84,-0.215
p2_filter_test1,full,2015-08,330.69,0.735,64220.59,-399.7,-0.619
p2_filter_test1,full,2015-09,91.99,0.204,64312.59,-307.71,-0.476
p2_filter_test1,full,2015-10,30.63,0.068,64343.22,-277.07,-0.429
p2_filter_test1,full,2015-11,936.92,2.082,65280.14,-57.26,-0.088
p2_filter_test1,full,2015-12,470.47,1.045,65750.6,-62.73,-0.095
p2_filter_test1,full,2016-01,-149.17,-0.331,65601.44,-350.48,-0.531
p2_filter_test1,full,2016-02,-85.14,-0.189,65516.3,-435.62,-0.661
p2_filter_test1,full,2016-03,303.98,0.676,65820.28,-245.7,-0.372
p2_filter_test1,full,2016-04,187.94,0.418,66008.22,-139.13,-0.21
p2_filter_test1,full,2016-05,-165.38,-0.368,65842.84,-304.51,-0.46
p2_filter_test1,full,2016-06,1761.73,3.915,67604.57,-168.08,-0.248
p2_filter_test1,full,2016-07,446.31,0.992,68050.89,-31.56,-0.046
p2_filter_test1,full,2016-08,80.34,0.179,68131.23,-173.87,-0.255
p2_filter_test1,full,2016-09,707.09,1.571,68838.32,-33.85,-0.049
p2_filter_test1,full,2016-10,108.55,0.241,68946.86,-222.53,-0.322
p2_filter_test1,full,2016-11,37.15,0.083,68984.02,-185.37,-0.268
p2_filter_test1,full,2016-12,-513.51,-1.141,68470.51,-698.88,-1.01
p2_filter_test1,full,2017-01,834.7,1.855,69305.21,-94.86,-0.137
p2_filter_test1,full,2017-02,973.48,2.163,70278.68,-13.42,-0.019
p2_filter_test1,full,2017-03,1114.36,2.476,71393.04,0.0,0.0
p2_filter_test1,full,2017-04,430.47,0.957,71823.5,-139.38,-0.194
p2_filter_test1,full,2017-05,906.09,2.014,72729.6,0.0,0.0
p2_filter_test1,full,2017-06,345.31,0.767,73074.91,-109.69,-0.15
