window,test_start,test_end,trades,win_rate,profit_factor,net_pnl,total_fees,expectancy,return_pct,max_dd_pct,train_wr,adaptive_mult,degraded,capital_start,capital_end
1,2024-06-30,2024-07-30,7,28.6,0.54,-114.9,84.5,-16.41,-1.15,-1.31,78.3,1.0,True,10000.0,9885.1
2,2024-07-30,2024-08-29,15,46.7,1.18,-6.96,183.48,-0.46,-0.07,-1.29,64.7,1.0,False,9885.1,9878.14
3,2024-08-29,2024-09-28,4,25.0,0.4,-70.78,48.31,-17.7,-0.72,-1.08,48.1,0.75,True,9878.14,9807.36
4,2024-09-28,2024-10-28,7,57.1,1.83,32.66,40.84,4.67,0.33,-0.25,38.5,0.5,False,9807.36,9840.01
5,2024-10-28,2024-11-27,12,33.3,0.67,-113.23,112.42,-9.44,-1.15,-2.24,46.2,0.75,True,9840.01,9726.78
6,2024-11-27,2024-12-27,6,16.7,0.25,-78.6,34.83,-13.1,-0.81,-1.04,39.1,0.5,True,9726.78,9648.19
7,2024-12-27,2025-01-26,8,25.0,0.45,-75.09,46.15,-9.39,-0.78,-0.81,36.0,0.5,True,9648.19,9573.1
8,2025-01-26,2025-02-25,11,36.4,0.73,-59.21,73.66,-5.38,-0.62,-1.27,26.9,0.5,False,9573.1,9513.89
9,2025-02-25,2025-03-27,14,57.1,1.69,50.4,92.86,3.6,0.53,-1.15,28.0,0.5,False,9513.89,9564.29
10,2025-03-27,2025-04-26,9,33.3,0.75,-37.29,37.15,-4.14,-0.39,-0.7,42.4,0.5,True,9564.29,9527.0
11,2025-04-26,2025-05-26,5,80.0,6.51,84.69,15.62,16.94,0.89,-0.19,44.1,0.5,False,9527.0,9611.69
12,2025-05-26,2025-06-25,2,50.0,1.3,2.43,19.04,1.22,0.03,-0.37,53.6,0.75,False,9611.69,9614.12
13,2025-06-25,2025-07-25,15,46.7,1.14,-15.74,143.67,-1.05,-0.16,-1.5,50.0,0.75,False,9614.12,9598.38
14,2025-07-25,2025-08-24,9,33.3,0.6,-133.75,133.2,-14.86,-1.39,-2.23,57.1,1.0,True,9598.38,9464.63
15,2025-08-24,2025-09-23,11,27.3,0.48,-102.91,74.26,-9.36,-1.09,-1.34,44.0,0.5,True,9464.63,9361.72
16,2025-09-23,2025-10-23,15,40.0,0.99,-22.13,64.01,-1.48,-0.24,-1.28,37.1,0.5,False,9361.72,9339.59
17,2025-10-23,2025-11-22,11,27.3,0.58,-68.32,40.18,-6.21,-0.73,-1.08,34.3,0.5,True,9339.59,9271.27
18,2025-11-22,2025-12-22,7,14.3,0.25,-91.83,36.3,-13.12,-0.99,-1.05,32.4,0.5,True,9271.27,9179.43
19,2025-12-22,2026-01-21,8,75.0,4.72,108.35,29.9,13.54,1.18,-0.19,30.3,0.5,False,9179.43,9287.78
20,2026-01-21,2026-02-20,5,40.0,1.02,-5.56,19.4,-1.11,-0.06,-0.38,38.5,0.5,False,9287.78,9282.22
21,2026-02-20,2026-03-22,5,40.0,1.06,-3.5,24.12,-0.7,-0.04,-0.3,45.0,0.75,False,9282.22,9278.72
