direction,entry_time,entry_price,exit_time,exit_price,exit_reason,qty,pnl,fees,win,window
long,2024-07-03 08:32:00+00:00,2333.63,2024-07-03 08:46:00+00:00,2332.9672082478655,stop_loss,45.2630858838878,-44.78572131557039,14.78572131557039,False,1
long,2024-07-03 14:26:00+00:00,2342.83,2024-07-03 14:29:00+00:00,2344.8015642933115,full_2r,30.273890844263036,49.753022967472226,9.933899240687637,True,1
long,2024-07-04 09:05:00+00:00,2356.35,2024-07-04 09:10:00+00:00,2355.4019039254185,stop_loss,31.618974484716375,-40.40647901724536,10.428653425997211,False,1
long,2024-07-17 08:38:00+00:00,2467.42,2024-07-17 08:59:00+00:00,2465.809237238427,stop_loss,18.52598081994766,-36.238463742449625,6.397503716063889,False,1
long,2024-07-18 15:41:00+00:00,2465.73,2024-07-18 15:50:00+00:00,2463.036397649066,stop_loss,11.034533451449978,-33.52970988453038,3.8070646382468847,False,1
short,2024-07-25 09:48:00+00:00,2374.91,2024-07-25 09:52:00+00:00,2371.3102118831694,full_2r,16.454492007641306,53.765919819583935,5.466764978005606,True,1
long,2024-07-29 10:56:00+00:00,2390.91,2024-07-29 11:21:00+00:00,2389.103390756151,stop_loss,16.478070115445526,-35.283011497749996,5.513577706395385,False,1
long,2024-07-30 13:47:00+00:00,2388.43,2024-07-30 13:51:00+00:00,2390.7483117487322,full_2r,25.583540505909877,50.75184139437116,8.558781134651277,True,2
long,2024-07-30 14:47:00+00:00,2389.06,2024-07-30 14:57:00+00:00,2387.670826674896,stop_loss,21.44781670233918,-36.966266149093265,7.171531304485538,False,2
long,2024-07-31 13:38:00+00:00,2418.49,2024-07-31 14:11:00+00:00,2420.6252468005487,full_2r,27.79357928378942,49.931407912238946,9.414743329274167,True,2
long,2024-08-02 10:18:00+00:00,2462.61,2024-08-02 10:28:00+00:00,2460.733879714527,stop_loss,15.888508957372029,-35.284475494159935,5.475721533314691,False,2
long,2024-08-02 14:39:00+00:00,2458.33,2024-08-02 15:17:00+00:00,2456.840881500058,stop_loss,19.941115380207638,-36.55566309844369,6.860979276300068,False,2
long,2024-08-09 12:45:00+00:00,2424.11,2024-08-09 12:47:00+00:00,2423.199795698639,stop_loss,32.492400004877524,-40.599773264050135,11.025051018058091,False,2
long,2024-08-09 12:49:00+00:00,2423.48,2024-08-09 13:31:00+00:00,2426.0400971477006,full_2r,22.996300957380175,51.066292832952904,7.806471655701044,True,2
long,2024-08-09 14:56:00+00:00,2425.9,2024-08-09 15:23:00+00:00,2424.586005037998,stop_loss,22.50988660710944,-37.220749894376915,7.642872297394361,False,2
long,2024-08-13 13:47:00+00:00,2460.72,2024-08-13 14:22:00+00:00,2464.3375228632235,full_2r,16.28448474099093,53.295354180782546,5.614141685569812,True,2
long,2024-08-14 13:19:00+00:00,2471.56,2024-08-14 13:47:00+00:00,2473.955504184069,full_2r,24.71815258397697,50.65535745865529,8.557080478719191,True,2
long,2024-08-15 10:32:00+00:00,2455.29,2024-08-15 11:17:00+00:00,2454.2703258760043,stop_loss,29.171433242900108,-39.770679428530904,10.02532379087979,False,2
long,2024-08-19 10:35:00+00:00,2500.19,2024-08-19 10:43:00+00:00,2502.4667764318115,full_2r,26.01133960865733,50.1131986758214,9.108806305012314,True,2
long,2024-08-20 12:51:00+00:00,2521.67,2024-08-20 14:23:00+00:00,2524.761162015053,full_2r,19.246927175241957,52.696389675682376,6.798980514912275,True,2
long,2024-08-23 11:58:00+00:00,2498.36,2024-08-23 12:08:00+00:00,2497.4152842205776,stop_loss,31.645054196978748,-40.96199261432197,11.066410573756096,False,2
long,2024-08-27 10:24:00+00:00,2513.23,2024-08-27 10:27:00+00:00,2511.776359781128,stop_loss,20.47005367732498,-36.95644380177949,7.200350493953335,False,2
short,2024-09-04 13:28:00+00:00,2484.39,2024-09-04 13:31:00+00:00,2486.0382796025137,stop_loss,13.484250615502349,-26.91739028591541,4.691575041197833,False,3
long,2024-09-13 07:42:00+00:00,2568.64,2024-09-13 08:04:00+00:00,2567.821765370136,stop_loss,27.08266557798723,-31.897610182130478,9.737635337194607,False,3
short,2024-09-17 09:02:00+00:00,2579.82,2024-09-17 09:04:00+00:00,2580.6549295135087,stop_loss,26.442050831812963,-31.6289964653482,9.551747828174483,False,3
long,2024-09-23 13:31:00+00:00,2621.7,2024-09-23 14:11:00+00:00,2623.6629306287377,full_2r,22.410714974217246,35.76201548458145,8.228663350225185,True,3
short,2024-10-02 09:47:00+00:00,2649.61,2024-10-02 10:01:00+00:00,2651.364440639384,stop_loss,8.38502774992261,-17.822450691874472,3.1114172450474205,False,4
long,2024-10-10 11:07:00+00:00,2614.58,2024-10-10 12:34:00+00:00,2617.882375936144,full_2r,8.891759911094766,26.10712801702317,3.2568059433462473,True,4
long,2024-10-14 08:51:00+00:00,2657.82,2024-10-14 09:20:00+00:00,2660.2335809101355,full_2r,12.196555373429648,24.897037770228003,4.5403354484905405,True,4
long,2024-10-15 14:44:00+00:00,2650.06,2024-10-15 14:51:00+00:00,2649.0569641873317,stop_loss,14.707977794577095,-20.20837908469972,5.455750624809384,False,4
long,2024-10-16 10:25:00+00:00,2674.01,2024-10-16 10:51:00+00:00,2676.6364308022803,full_2r,11.207775427400835,25.238627556413473,4.197819051149904,True,4
long,2024-10-16 13:37:00+00:00,2674.09,2024-10-16 14:17:00+00:00,2677.0370019665042,full_2r,10.012164629630117,25.755523337640447,3.750345514842338,True,4
long,2024-10-18 15:51:00+00:00,2712.43,2024-10-18 15:55:00+00:00,2710.503187150616,stop_loss,7.675242826982744,-17.702319534381747,2.913563033211911,False,4
long,2024-10-28 10:32:00+00:00,2736.29,2024-10-28 10:35:00+00:00,2738.750393535891,full_2r,17.997141747292257,37.38259575712779,6.8974554624231335,True,5
