ts,dir,price,volume,profit,comment,source
2026-01-14 16:35:00,short,25782.92,0.0,P2_B|SHORT|S=6|ATR=110.59429|RE,,mt5_old_report
2026-01-15 17:50:00,long,25443.0,0.0,P2_B|LONG|S=7|ATR=146.62214|REG,,mt5_old_report
2026-01-15 21:05:00,long,25469.84,0.0,P2_B|LONG|S=7|ATR=140.56143|REG,,mt5_old_report
2026-01-16 15:50:00,long,25465.86,0.0,P2_B|LONG|S=7|ATR=136.59143|REG,,mt5_old_report
2026-01-16 16:45:00,long,25457.11,0.0,P2_B|LONG|S=7|ATR=138.54857|REG,,mt5_old_report
2026-01-21 17:25:00,long,24971.15,0.0,P2_B|LONG|S=6|ATR=161.92143|REG,,mt5_old_report
2026-01-21 18:10:00,long,25055.28,0.0,P2_B|LONG|S=7|ATR=169.86786|REG,,mt5_old_report
2026-01-22 18:45:00,long,25252.19,0.0,P2_B|LONG|S=7|ATR=191.15786|REG,,mt5_old_report
2026-01-22 19:15:00,long,25259.69,0.0,P2_B|LONG|S=8|ATR=191.15786|REG,,mt5_old_report
2026-01-22 19:45:00,long,25271.39,0.0,P2_B|LONG|S=8|ATR=191.15786|REG,,mt5_old_report
2026-01-23 15:05:00,long,25231.6,0.0,P2_B|LONG|S=7|ATR=176.63286|REG,,mt5_old_report
2026-01-23 16:30:00,long,25212.88,0.0,P2_B|LONG|S=5|ATR=172.18286|REG,,mt5_old_report
2026-01-23 17:00:00,long,25266.28,0.0,P2_B|LONG|S=7|ATR=176.03143|REG,,mt5_old_report
2026-01-23 19:55:00,long,25276.2,0.0,P2_B|LONG|S=6|ATR=188.85286|REG,,mt5_old_report
2026-01-29 16:45:00,short,26026.21,0.0,P2_B|SHORT|S=7|ATR=134.98929|RE,,mt5_old_report
2026-01-29 17:15:00,short,25819.82,0.0,P2_B|SHORT|S=7|ATR=151.39643|RE,,mt5_old_report
2026-01-29 17:45:00,short,25736.21,0.0,P2_B|SHORT|S=7|ATR=159.11786|RE,,mt5_old_report
2026-01-29 18:15:00,short,25786.38,0.0,P2_B|SHORT|S=8|ATR=164.43214|RE,,mt5_old_report
2026-01-29 20:25:00,short,25963.91,0.0,P2_B|SHORT|S=6|ATR=166.62143|RE,,mt5_old_report
2026-01-29 20:55:00,short,25989.68,0.0,P2_B|SHORT|S=6|ATR=168.76786|RE,,mt5_old_report
2026-01-29 22:30:00,short,25986.41,0.0,P2_B|SHORT|S=6|ATR=169.38571|RE,,mt5_old_report
2025-12-01 15:45:00,long,25205.75,1.42,0.00,P2_B|LONG|S=5|ATR=76.93643|REG=,mt5_old_report
2025-12-01 16:15:00,long,25247.55,1.13,0.00,P2_B|LONG|S=6|ATR=77.55786|REG=,mt5_old_report
2025-12-01 16:32:15,short,25184.33,1.42,-30.42,sl 25184.50,mt5_old_report
2025-12-01 16:41:05,short,25185.52,1.13,-70.09,sl 25185.90,mt5_old_report
2025-12-03 16:20:00,short,25402.65,0.52,0.00,P2_B|SHORT|S=6|ATR=126.42071|RE,mt5_old_report
2025-12-03 17:03:25,long,25516.29,0.52,-59.09,sl 25516.19,mt5_old_report
2025-12-04 18:05:00,short,25489.05,0.61,0.00,P2_B|SHORT|S=6|ATR=105.74286|RE,mt5_old_report
2025-12-04 18:51:41,long,25587.74,0.61,-60.20,sl 25587.74,mt5_old_report
2025-12-08 18:00:00,short,25624.55,0.58,0.00,P2_B|SHORT|S=6|ATR=110.25000|RE,mt5_old_report
2025-12-08 18:30:00,short,25625.05,0.57,0.00,P2_B|SHORT|S=6|ATR=111.84286|RE,mt5_old_report
2025-12-08 19:00:00,short,25603.35,0.38,0.00,P2_B|SHORT|S=6|ATR=111.84286|RE,mt5_old_report
2025-12-08 22:59:41,long,25632.05,0.58,-4.35,sl 25632.05,mt5_old_report
2025-12-08 22:59:41,long,25633.58,0.57,-4.86,sl 25633.32,mt5_old_report
2025-12-08 22:59:41,long,25633.58,0.38,-11.49,sl 25633.32,mt5_old_report
2025-12-09 15:05:00,short,25623.95,0.52,0.00,P2_B|SHORT|S=7|ATR=101.21500|RE,mt5_old_report
2025-12-09 15:35:00,short,25588.95,0.35,0.00,P2_B|SHORT|S=8|ATR=101.21500|RE,mt5_old_report
2025-12-09 16:40:00,short,25606.35,0.41,0.00,P2_B|SHORT|S=5|ATR=103.64357|RE,mt5_old_report
2025-12-09 17:02:39,long,25627.16,0.52,-1.67,sl 25627.02,mt5_old_report
2025-12-09 17:02:39,long,25627.16,0.35,-13.37,sl 25627.02,mt5_old_report
2025-12-09 18:01:30,long,25660.16,0.41,-22.06,sl 25660.16,mt5_old_report
2025-12-10 17:10:00,short,25597.95,0.66,0.00,P2_B|SHORT|S=8|ATR=96.52143|REG,mt5_old_report
2025-12-10 17:50:00,short,25595.15,0.44,0.00,P2_B|SHORT|S=8|ATR=96.62143|REG,mt5_old_report
2025-12-10 18:18:37,long,25597.73,0.66,0.15,sl 25597.67,mt5_old_report
2025-12-10 18:18:37,long,25597.94,0.44,-1.23,sl 25597.75,mt5_old_report
2025-12-10 19:25:00,short,25604.45,0.64,0.00,P2_B|SHORT|S=6|ATR=99.20000|REG,mt5_old_report
2025-12-10 19:55:00,short,25637.85,0.42,0.00,P2_B|SHORT|S=3|ATR=99.20000|REG,mt5_old_report
2025-12-10 20:25:00,short,25590.85,0.36,0.00,P2_B|SHORT|S=7|ATR=97.82143|REG,mt5_old_report
2025-12-10 21:00:32,long,25654.74,0.36,-23.00,sl 25654.36,mt5_old_report
2025-12-10 21:00:37,long,25655.66,0.64,-32.77,sl 25655.46,mt5_old_report
2025-12-10 21:00:37,long,25655.66,0.42,-7.48,sl 25655.46,mt5_old_report
2025-12-11 15:35:00,short,25620.25,0.41,0.00,P2_B|SHORT|S=4|ATR=127.85000|RE,mt5_old_report
2025-12-11 16:05:00,short,25624.95,0.34,0.00,P2_B|SHORT|S=3|ATR=124.27857|RE,mt5_old_report
2025-12-11 16:57:04,long,25378.85,0.34,83.67,tp 25378.86,mt5_old_report
2025-12-11 17:00:40,long,25367.19,0.41,103.75,tp 25367.20,mt5_old_report
2025-12-11 17:25:00,short,25596.35,0.3,0.00,P2_B|SHORT|S=4|ATR=143.88571|RE,mt5_old_report
2025-12-11 18:46:24,long,25556.37,0.3,11.99,sl 25556.36,mt5_old_report
2025-12-11 19:20:00,long,25560.45,0.91,0.00,P2_B|LONG|S=4|ATR=143.88571|REG,mt5_old_report
2025-12-11 20:00:00,long,25568.05,0.6,0.00,P2_B|LONG|S=5|ATR=143.88571|REG,mt5_old_report
2025-12-12 01:06:20,short,25678.4,0.91,107.33,sl 25678.85,mt5_old_report
2025-12-12 01:06:20,short,25678.4,0.6,66.21,sl 25678.85,mt5_old_report
2025-12-17 15:20:00,short,25171.35,0.34,0.00,P2_B|SHORT|S=6|ATR=160.06500|RE,mt5_old_report
2025-12-17 15:55:00,short,25198.95,0.23,0.00,P2_B|SHORT|S=6|ATR=160.95786|RE,mt5_old_report
2025-12-17 17:44:41,long,24881.38,0.23,73.04,tp 24881.50,mt5_old_report
2025-12-17 17:45:40,long,24855.62,0.34,107.35,tp 24855.75,mt5_old_report
2025-12-18 17:30:00,long,25090.35,0.76,0.00,P2_B|LONG|S=7|ATR=179.40071|REG,mt5_old_report
2025-12-18 18:00:00,long,25132.65,0.49,0.00,P2_B|LONG|S=7|ATR=184.38643|REG,mt5_old_report
2025-12-18 18:30:00,long,25119.65,0.74,0.00,P2_B|LONG|S=7|ATR=184.68643|REG,mt5_old_report
2025-12-18 19:09:37,short,25024.55,0.76,-50.01,sl 25024.68,mt5_old_report
2025-12-18 19:09:40,short,25020.68,0.49,-54.87,sl 25020.69,mt5_old_report
2025-12-18 19:09:40,short,25020.36,0.74,-73.47,sl 25020.45,mt5_old_report
2025-12-18 20:15:00,long,25103.75,0.43,0.00,P2_B|LONG|S=7|ATR=172.55786|REG,mt5_old_report
2025-12-18 20:45:00,long,25128.2,0.42,0.00,P2_B|LONG|S=7|ATR=174.75786|REG,mt5_old_report
2025-12-18 21:33:43,short,25008.47,0.43,-40.97,sl 25008.50,mt5_old_report
2025-12-18 21:57:21,short,24968.39,0.42,-67.12,sl 24968.44,mt5_old_report
2025-12-19 22:05:00,long,25335.05,0.63,0.00,P2_B|LONG|S=8|ATR=173.29214|REG,mt5_old_report
2025-12-19 22:35:00,long,25340.85,0.42,0.00,P2_B|LONG|S=8|ATR=173.29214|REG,mt5_old_report
2025-12-22 17:36:32,short,25404.52,0.63,43.77,sl 25404.62,mt5_old_report
2025-12-22 17:36:32,short,25404.52,0.42,26.74,sl 25404.62,mt5_old_report
2025-12-22 17:40:00,short,25411.75,0.5,0.00,P2_B|SHORT|S=5|ATR=130.14929|RE,mt5_old_report
2025-12-23 16:30:59,long,25485.63,0.5,-36.94,sl 25485.37,mt5_old_report
2025-12-29 15:05:00,short,25540.85,0.94,0.00,P2_B|SHORT|S=7|ATR=56.57071|REG,mt5_old_report
2025-12-29 15:35:00,short,25526.25,0.63,0.00,P2_B|SHORT|S=8|ATR=56.57786|REG,mt5_old_report
2025-12-29 15:50:00,long,25466.25,0.63,37.80,,mt5_old_report
2025-12-29 16:05:00,short,25474.65,0.71,0.00,P2_B|SHORT|S=8|ATR=61.23500|REG,mt5_old_report
2025-12-29 16:34:41,long,25509.63,0.94,29.35,sl 25509.51,mt5_old_report
2025-12-29 16:35:30,long,25513.24,0.71,-27.40,sl 25513.24,mt5_old_report
2025-12-29 18:05:00,short,25472.15,0.91,0.00,P2_B|SHORT|S=8|ATR=71.73500|REG,mt5_old_report
2025-12-29 18:35:00,short,25481.2,0.6,0.00,P2_B|SHORT|S=8|ATR=71.73500|REG,mt5_old_report
2025-12-29 19:05:00,short,25483.1,0.6,0.00,P2_B|SHORT|S=8|ATR=71.73500|REG,mt5_old_report
2025-12-29 20:34:58,long,25502.7,0.91,-27.80,sl 25502.69,mt5_old_report
2025-12-29 20:34:58,long,25502.7,0.6,-12.90,sl 25502.69,mt5_old_report
2025-12-29 20:34:58,long,25502.7,0.6,-11.76,sl 25502.69,mt5_old_report
2025-12-29 22:55:00,short,25520.5,0.71,0.00,P2_B|SHORT|S=6|ATR=75.61000|REG,mt5_old_report
2025-12-30 11:04:57,long,25534.2,0.71,-9.73,sl 25534.14,mt5_old_report
2025-12-31 15:20:00,long,25426.75,1.29,0.00,P2_B|LONG|S=5|ATR=84.21929|REG=,mt5_old_report
2025-12-31 16:35:00,long,25457.25,1.01,0.00,P2_B|LONG|S=5|ATR=86.19071|REG=,mt5_old_report
2025-12-31 16:36:38,short,25432.43,1.29,7.33,sl 25432.67,mt5_old_report
2025-12-31 17:55:27,short,25350.89,1.01,-107.42,sl 25350.90,mt5_old_report
2025-12-31 20:50:00,long,25412.5,1.19,0.00,P2_B|LONG|S=4|ATR=89.60857|REG=,mt5_old_report
2025-12-31 21:33:37,short,25345.74,1.19,-79.44,sl 25345.81,mt5_old_report
2026-01-05 16:05:00,long,25435.05,0.91,0.00,P2_B|LONG|S=7|ATR=140.64429|REG,mt5_old_report
2026-01-05 16:35:00,long,25408.0,0.59,0.00,P2_B|LONG|S=7|ATR=144.66214|REG,mt5_old_report
2026-01-05 17:05:00,long,25452.8,0.58,0.00,P2_B|LONG|S=7|ATR=147.20143|REG,mt5_old_report
2026-01-05 20:08:40,short,25406.7,0.91,-25.80,sl 25406.88,mt5_old_report
2026-01-05 20:15:38,short,25403.62,0.59,-2.58,sl 25403.67,mt5_old_report
2026-01-05 20:16:20,short,25401.64,0.58,-29.67,sl 25401.64,mt5_old_report
2026-01-08 16:35:00,short,25529.6,0.61,0.00,P2_B|SHORT|S=6|ATR=103.69357|RE,mt5_old_report
2026-01-08 17:10:00,short,25500.7,0.37,0.00,P2_B|SHORT|S=7|ATR=112.44357|RE,mt5_old_report
2026-01-08 17:16:27,long,25507.6,0.61,13.42,sl 25507.55,mt5_old_report
2026-01-08 17:40:00,short,25484.7,0.37,0.00,P2_B|SHORT|S=7|ATR=112.44357|RE,mt5_old_report
2026-01-08 18:10:00,short,25463.7,0.56,0.00,P2_B|SHORT|S=7|ATR=112.44357|RE,mt5_old_report
2026-01-08 23:34:43,long,25529.15,0.37,-10.53,sl 25529.05,mt5_old_report
2026-01-08 23:34:43,long,25529.15,0.37,-16.45,sl 25529.05,mt5_old_report
2026-01-08 23:34:43,long,25529.15,0.56,-36.65,sl 25529.05,mt5_old_report
