direction,entry_time,entry_price,exit_time,exit_price,exit_reason,pnl,score
long,2024-04-01 07:00:00,18366.4,2024-04-01 16:16:00,18265.653333333335,stop_loss,-71.78166749602966,7
short,2024-04-01 14:01:00,18352.7,2024-04-02 15:46:00,18132.85834074074,full_2r,69.18060146885958,5
short,2024-04-02 10:00:00,18279.7,2024-04-02 16:41:00,18019.06192211839,full_2r,69.04034302842494,2
short,2024-04-02 09:00:00,18259.5,2024-04-02 17:18:00,17998.86192211839,full_2r,69.04583990717234,4
short,2024-04-03 08:00:00,18090.7,2024-04-03 17:58:00,18226.65950849324,stop_loss,-72.97974005132127,6
short,2024-04-03 07:00:00,18100.0,2024-04-03 18:27:00,18243.430202107586,stop_loss,-72.91538851994338,4
long,2024-04-03 09:00:00,18057.8,2024-04-04 15:55:00,18329.71901698648,full_2r,70.96449166171975,5
long,2024-04-04 15:55:00,18327.9,2024-04-04 21:27:00,18159.085219943594,stop_loss,-72.42418580078419,5
long,2024-04-04 10:04:00,18227.2,2024-04-04 21:32:00,18063.30602301184,stop_loss,-71.95388745610748,7
long,2024-04-04 12:00:00,18243.6,2024-04-04 21:32:00,18074.78521994359,stop_loss,-71.91877405333337,2
long,2024-04-05 09:00:00,17926.9,2024-04-10 15:31:00,17926.9,stop_loss,-0.397977819987758,8
long,2024-04-05 07:00:00,17920.8,2024-04-10 15:32:00,17920.8,stop_loss,-0.3671319720986558,3
long,2024-04-05 10:00:00,17923.2,2024-04-10 15:32:00,17923.2,stop_loss,-0.3978798046500339,4
short,2024-04-10 15:56:00,17912.55,2024-04-11 20:04:00,18174.17870227346,stop_loss,-71.21661327170918,4
short,2024-04-11 08:00:00,18027.45,2024-04-11 20:20:00,18236.710047477492,stop_loss,-71.38883765177242,4
short,2024-04-11 09:00:00,18028.25,2024-04-11 20:20:00,18237.51004747749,stop_loss,-71.38586187887783,2
short,2024-04-12 10:55:00,18290.35,2024-04-15 20:19:00,17887.41998418352,full_2r,68.59546533849272,6
short,2024-04-12 11:55:00,18283.35,2024-04-15 20:20:00,17880.41998418352,full_2r,68.59258171950506,5
short,2024-04-12 13:47:00,18218.75,2024-04-15 20:28:00,17798.343986292384,full_2r,68.60924367028355,6
long,2024-04-17 07:00:00,17769.45,2024-04-17 18:32:00,17567.761097069364,stop_loss,-72.0467729791529,4
long,2024-04-17 12:59:00,17766.75,2024-04-17 19:03:00,17563.10811290988,stop_loss,-72.03511170709324,5
long,2024-04-16 13:22:00,17637.05,2024-04-18 16:39:00,17410.851172547762,stop_loss,-71.94856500491417,4
long,2024-04-19 13:20:00,17281.95,2024-04-19 21:44:00,17014.122074882984,stop_loss,-70.2799061478316,2
long,2024-04-22 14:00:00,17128.65,2024-04-24 16:37:00,17629.701883247173,full_2r,68.82322360016238,3
long,2024-04-22 12:04:00,17131.65,2024-04-24 16:39:00,17632.701883247173,full_2r,68.82547180089752,7
