direction,entry_time,entry_price,exit_time,exit_price,exit_reason,pnl,score
long,2023-05-25 12:08:00,13865.3,2023-05-26 17:41:00,14192.133165926472,full_2r,69.57935290280801,6
long,2023-05-25 14:03:00,13865.3,2023-05-26 17:41:00,14192.133165926472,full_2r,69.57646016140863,8
long,2023-05-25 15:03:00,13905.05,2023-05-26 18:41:00,14231.883165926472,full_2r,69.57237574687485,7
long,2023-05-30 10:49:00,14392.8,2023-05-30 16:55:00,14392.8,stop_loss,-0.5406888636627482,6
long,2023-05-30 11:49:00,14433.1,2023-05-31 09:09:00,14298.605666590474,stop_loss,-73.25404965888019,3
short,2023-06-01 07:00:00,14237.7,2023-06-01 19:00:00,14395.916644719737,stop_loss,-72.81411650729295,5
short,2023-06-01 14:36:00,14270.2,2023-06-01 19:18:00,14416.84983536727,stop_loss,-72.88458242961507,6
long,2023-06-02 11:58:00,14492.9,2023-06-06 16:32:00,14492.9,stop_loss,-0.500673906738002,4
long,2023-06-02 09:42:00,14479.3,2023-06-06 16:36:00,14479.3,stop_loss,-0.5002535115166044,5
long,2023-06-02 10:58:00,14480.5,2023-06-06 16:36:00,14480.5,stop_loss,-0.5002702531456813,7
long,2023-06-07 12:31:00,14538.8,2023-06-07 18:51:00,14421.000031091411,stop_loss,-72.81233759302668,5
short,2023-06-07 08:00:00,14553.1,2023-06-07 20:38:00,14320.946225595564,full_2r,70.96604629297931,3
short,2023-06-07 09:49:00,14535.4,2023-06-07 22:37:00,14303.246225595563,full_2r,70.96245068908874,7
short,2023-06-08 07:04:00,14270.0,2023-06-08 17:57:00,14436.376646162927,stop_loss,-73.42863289407863,7
short,2023-06-09 07:07:00,14477.0,2023-06-09 16:52:00,14640.817210617419,stop_loss,-72.93159609730209,6
long,2023-06-09 08:39:00,14480.3,2023-06-12 22:59:00,14789.849831736858,full_2r,71.55541747052756,5
long,2023-06-09 11:48:00,14479.8,2023-06-12 22:59:00,14789.349831736858,full_2r,71.55215344352116,6
long,2023-06-13 09:20:00,14868.8,2023-06-14 21:01:00,14868.8,stop_loss,-0.5383785756579763,4
long,2023-06-13 11:05:00,14871.3,2023-06-14 21:01:00,14871.3,stop_loss,-0.5384413040132214,3
long,2023-06-13 15:30:00,14882.3,2023-06-15 15:37:00,14882.3,stop_loss,-0.48451178377131876,6
short,2023-06-15 10:10:00,14949.9,2023-06-15 18:38:00,15130.278509940106,stop_loss,-74.61248655093748,4
short,2023-06-15 11:38:00,14953.8,2023-06-15 18:38:00,15134.178509940106,stop_loss,-74.60967965672006,4
long,2023-06-16 15:01:00,15208.7,2023-06-20 08:26:00,15027.827853570743,stop_loss,-73.54236334514559,5
long,2023-06-16 13:00:00,15203.4,2023-06-20 11:20:00,15022.527853570742,stop_loss,-73.54509427489693,3
long,2023-06-16 11:02:00,15178.5,2023-06-20 11:36:00,14992.201369504703,stop_loss,-73.52175142494507,5
short,2023-06-23 14:00:00,14939.9,2023-06-27 20:48:00,14939.9,stop_loss,-0.405797172600923,2
short,2023-06-23 07:29:00,14954.0,2023-06-27 21:15:00,14954.0,stop_loss,-0.42804457472303176,5
short,2023-06-23 11:19:00,14955.9,2023-06-27 21:16:00,14955.9,stop_loss,-0.4297881600188346,6
short,2023-06-28 14:02:00,14914.2,2023-06-30 15:31:00,15063.848667489932,stop_loss,-72.8727040380944,4
long,2023-07-03 11:00:00,15209.6,2023-07-06 15:31:00,15082.131831421117,stop_loss,-72.5298019162247,5
long,2023-07-03 10:00:00,15196.0,2023-07-06 15:33:00,15068.531831421116,stop_loss,-72.5329732673129,3
long,2023-07-03 09:00:00,15191.6,2023-07-06 15:38:00,15064.131831421117,stop_loss,-72.5368644830134,4
short,2023-07-07 15:32:00,15149.7,2023-07-12 07:27:00,15149.7,stop_loss,-0.5532874836025181,4
long,2023-07-12 10:00:00,15140.9,2023-07-13 11:23:00,15400.998235535166,full_2r,69.4726237727367,5
long,2023-07-12 15:31:00,15261.2,2023-07-13 22:05:00,15560.698470797146,full_2r,69.77923704796576,6
short,2023-07-14 11:00:00,15581.5,2023-07-14 17:17:00,15712.10268669996,stop_loss,-72.69426691860431,3
short,2023-07-14 09:00:00,15590.0,2023-07-14 17:24:00,15720.60268669996,stop_loss,-72.69917061105836,5
long,2023-07-14 14:00:00,15558.9,2023-07-14 22:00:00,15558.9,stop_loss,-0.630146843621468,5
long,2023-07-17 09:00:00,15547.5,2023-07-18 20:06:00,15799.213365401381,full_2r,70.0896065446196,4
long,2023-07-17 07:38:00,15547.5,2023-07-18 20:12:00,15806.184652386208,full_2r,70.11021314103569,6
long,2023-07-17 10:00:00,15561.7,2023-07-18 20:15:00,15813.413365401382,full_2r,70.08480553311584,7
long,2023-07-19 12:46:00,15873.9,2023-07-20 01:13:00,15761.21735340229,stop_loss,-74.32227271435642,6
long,2023-07-19 11:46:00,15861.0,2023-07-20 01:18:00,15741.65848469495,stop_loss,-74.24579442431632,5
short,2023-07-19 07:00:00,15831.5,2023-07-20 17:39:00,15577.819580065268,full_2r,72.26721801921954,5
short,2023-07-20 09:34:00,15740.1,2023-07-20 22:06:00,15470.65421233724,full_2r,71.26228087662507,6
short,2023-07-20 11:00:00,15718.7,2023-07-20 22:16:00,15449.25421233724,full_2r,71.25900004168233,4
long,2023-07-21 11:03:00,15510.4,2023-07-27 21:31:00,15510.4,stop_loss,-0.4944563184495501,7
long,2023-07-21 09:00:00,15485.2,2023-07-27 21:36:00,15485.2,stop_loss,-0.49367599586973826,6
long,2023-07-21 08:00:00,15481.2,2023-07-27 21:37:00,15481.2,stop_loss,-0.4935714916976242,6
long,2023-07-28 08:00:00,15520.6,2023-08-02 11:02:00,15520.6,stop_loss,-0.37693488775100026,8
long,2023-07-28 07:00:00,15508.2,2023-08-02 11:18:00,15508.2,stop_loss,-0.36497644487727327,3
long,2023-07-28 07:01:00,15484.2,2023-08-02 17:06:00,15484.2,stop_loss,-0.3643991775527069,3
long,2023-08-02 12:09:00,15548.2,2023-08-02 18:55:00,15372.20990023672,stop_loss,-76.52363879991493,4
long,2023-08-02 12:02:00,15524.3,2023-08-02 19:01:00,15348.309900236718,stop_loss,-76.52550927505906,2
short,2023-08-03 14:24:00,15309.2,2023-08-04 19:25:00,15504.100897803966,stop_loss,-75.33569903177522,7
short,2023-08-03 09:54:00,15325.4,2023-08-04 19:44:00,15524.99334361996,stop_loss,-75.32301765977552,5
short,2023-08-03 13:24:00,15323.9,2023-08-04 19:44:00,15518.800897803965,stop_loss,-75.33938831973373,6
short,2023-08-09 13:49:00,15310.3,2023-08-10 16:48:00,15310.3,stop_loss,-0.520907235877108,3
short,2023-08-09 12:49:00,15319.6,2023-08-10 16:54:00,15319.6,stop_loss,-0.5212497326505419,6
short,2023-08-09 14:49:00,15322.3,2023-08-10 16:54:00,15322.3,stop_loss,-0.521289448362083,5
short,2023-08-11 10:00:00,15156.9,2023-08-14 10:58:00,15156.9,stop_loss,-0.4129788805654143,5
short,2023-08-15 08:35:00,15243.5,2023-08-17 04:23:00,14831.234217307752,full_2r,73.53089326578942,6
short,2023-08-15 09:35:00,15235.3,2023-08-17 04:23:00,14823.034217307752,full_2r,73.52843464033334,5
short,2023-08-15 10:25:00,15176.7,2023-08-17 21:45:00,14764.434217307753,full_2r,73.52724239150182,7
long,2023-08-17 12:00:00,14896.8,2023-08-17 22:10:00,14722.984557774247,stop_loss,-76.59762342867009,6
long,2023-08-17 09:18:00,14868.5,2023-08-17 23:19:00,14687.974489739518,stop_loss,-76.56529338738905,5
short,2023-08-18 08:52:00,14692.2,2023-08-21 17:06:00,14869.439636003723,stop_loss,-76.00527356637528,3
short,2023-08-18 07:52:00,14699.5,2023-08-21 20:26:00,14888.068810773524,stop_loss,-75.95928754158729,4
long,2023-08-18 08:00:00,14704.2,2023-08-22 15:06:00,15058.679272007445,full_2r,74.68961608867019,3
short,2023-08-22 07:00:00,14922.6,2023-08-23 17:23:00,15088.384356906818,stop_loss,-75.26299367942818,6
