entry_ts,exit_ts,dir,entry,exit,pnl,win,exit_reason,qty
2011-09-08 08:10:00,2011-09-09 13:05:00,long,1831.41,1866.1802348488916,16.63469649367082,True,stop,0.4784177203853756
2011-09-08 08:40:00,2011-09-09 13:05:00,long,1837.59,1866.1802348488916,13.678074981689276,True,stop,0.4784177203853756
2011-09-09 13:20:00,2011-09-09 16:00:00,short,1842.25,1848.2487057771475,-2.528198287766911,False,stop,0.4214572912374301
2011-09-09 13:30:00,2011-09-09 16:00:00,short,1827.03,1848.9887057771475,-9.25465665591631,False,stop,0.4214572912374301
2011-09-09 16:35:00,2011-09-09 21:40:00,long,1857.98,1845.500988326472,-5.185876016376881,False,stop,0.4155678472020171
2011-09-09 18:10:00,2011-09-09 21:40:00,long,1856.26,1845.500988326472,-4.4710993191894,False,stop,0.4155678472020171
2011-09-09 22:50:00,2011-09-12 09:45:00,long,1854.42,1839.8403232162757,-6.250800619368678,False,stop,0.4287338266885715
2011-09-12 01:15:00,2011-09-12 09:45:00,long,1856.63,1840.2664134541055,-7.255288961315333,False,stop,0.44338011969237856
2011-09-12 10:30:00,2011-09-13 02:55:00,short,1835.65,1822.7098938944719,5.8185923487955495,True,stop,0.44965569071413947
2011-09-12 10:45:00,2011-09-13 02:55:00,short,1841.22,1822.7098938944719,8.323174546073277,True,stop,0.44965569071413947
2011-09-13 03:55:00,2011-09-13 11:05:00,short,1822.94,1817.0577211164446,2.8914430437605647,True,stop,0.4915515059722658
2011-09-13 06:35:00,2011-09-13 11:05:00,short,1829.79,1816.2889583009187,6.930530462706243,True,stop,0.5133330166055156
2011-09-13 11:15:00,2011-09-13 14:40:00,short,1804.54,1825.6326971941294,-9.863149890777926,False,stop,0.46760970396536433
2011-09-13 11:35:00,2011-09-13 14:40:00,short,1812.58,1825.6326971941294,-6.103567870896414,False,stop,0.46760970396536433
2011-09-13 16:10:00,2011-09-13 20:35:00,short,1824.63,1830.944221448035,-2.9725582218324282,False,stop,0.47077193067999473
2011-09-13 17:10:00,2011-09-13 20:35:00,short,1814.95,1830.944221448035,-7.529630510814807,False,stop,0.47077193067999473
2011-09-14 01:10:00,2011-09-14 08:45:00,long,1833.51,1826.8927136679204,-3.4658261038557003,False,stop,0.5237533831736865
2011-09-14 09:10:00,2011-09-15 15:35:00,short,1828.46,1798.5257484005397,16.394297761659008,True,stop,0.5476768880353284
2011-09-15 15:40:00,2011-09-15 16:20:00,short,1786.84,1798.4106764374446,-6.533321186631856,False,stop,0.5646447052558564
2011-09-13 22:20:00,2011-09-16 13:30:00,short,1836.6,1782.5877919216302,25.847986928223037,True,stop,0.47855823429248784
2011-09-15 16:55:00,2011-09-16 13:30:00,short,1786.87,1780.6987195791185,3.292430269194386,True,stop,0.5335084528089125
2011-09-16 14:55:00,2011-09-16 17:05:00,short,1784.58,1795.8055612111139,-6.488576537705115,False,stop,0.5780180086926135
2011-09-16 15:05:00,2011-09-16 17:05:00,short,1780.34,1797.3255612111138,-9.817960267774565,False,stop,0.5780180086926135
2011-09-16 17:30:00,2011-09-19 15:15:00,long,1794.22,1808.6415802837012,7.377351851439959,True,stop,0.5115494769860718
2011-09-16 17:40:00,2011-09-19 15:15:00,long,1790.76,1808.6415802837012,9.147313041811787,True,stop,0.5115494769860718
2011-09-19 15:20:00,2011-09-20 10:00:00,short,1812.95,1785.194358186303,17.407223252775047,True,stop,0.6271598174388009
2011-09-19 15:25:00,2011-09-20 10:00:00,short,1815.1,1785.194358186303,18.755616860268383,True,stop,0.6271598174388009
2011-09-20 10:00:00,2011-09-20 16:55:00,short,1786.82,1793.337856381981,-4.042408488483041,False,stop,0.6202052103600264
2011-09-20 13:50:00,2011-09-20 16:55:00,short,1785.11,1792.5829421977169,-4.88897980601146,False,stop,0.6542242234263596
2011-09-20 18:10:00,2011-09-21 15:00:00,long,1798.51,1799.859850095312,0.7708112758619803,True,stop,0.5710347234400588
2011-09-20 18:45:00,2011-09-21 15:00:00,long,1808.31,1799.859850095312,-4.82532901385057,False,stop,0.5710347234400588
2011-09-21 15:25:00,2011-09-21 18:45:00,short,1793.15,1799.6007403253482,-4.219282137168368,False,stop,0.6540771949211422
2011-09-21 15:35:00,2011-09-21 18:45:00,short,1795.57,1799.6007403253482,-2.636415325459305,False,stop,0.6540771949211422
2011-09-21 19:10:00,2011-09-21 21:25:00,long,1800.93,1797.3046917180316,-2.247762580510945,False,stop,0.6200197074800038
2011-09-21 19:55:00,2011-09-21 21:25:00,long,1808.38,1797.3046917180316,-6.8669094012370016,False,stop,0.6200197074800038
2011-09-21 22:00:00,2011-09-22 19:15:00,short,1792.72,1739.235667177706,29.15086211789757,True,stop,0.5450355380659546
2011-09-21 22:25:00,2011-09-22 19:15:00,short,1785.01,1739.235667177706,24.948638119409043,True,stop,0.5450355380659546
2011-09-22 20:30:00,2011-09-23 03:10:00,short,1735.18,1743.5064976117076,-4.36614605183462,False,stop,0.5243676579808995
2011-09-22 22:10:00,2011-09-23 03:10:00,short,1733.69,1743.5064976117076,-5.147453862226165,False,stop,0.5243676579808995
2011-09-23 04:35:00,2011-09-23 09:25:00,short,1748.0,1737.5918137616827,5.896758947756994,True,stop,0.5665500993869933
2011-09-23 07:55:00,2011-09-23 09:25:00,short,1735.62,1737.5918137616827,-1.1171312826540454,False,stop,0.5665500993869933
2011-09-23 10:00:00,2011-09-23 16:50:00,short,1747.51,1700.621305260125,25.050634175185237,True,stop,0.5342574433807322
2011-09-23 10:45:00,2011-09-23 16:50:00,short,1734.58,1700.621305260125,18.142685432272337,True,stop,0.5342574433807322
2011-09-23 19:50:00,2011-09-23 21:00:00,short,1651.02,1653.453033728716,-0.939407623596536,False,stop,0.3861054668125272
2011-09-23 20:55:00,2011-09-26 03:10:00,short,1650.09,1655.852229231554,-2.222080793894279,False,stop,0.3856286698429338
2011-09-23 22:35:00,2011-09-26 03:10:00,short,1648.45,1655.852229231554,-2.853988928067048,False,stop,0.38555803107274217
2011-09-26 04:05:00,2011-09-26 10:25:00,short,1651.45,1575.260741067256,25.878133705519883,True,stop,0.3396559314005637
2011-09-28 04:15:00,2011-09-28 09:50:00,short,1633.49,1652.909386118452,-8.451726810321507,False,stop,0.43522111145886494
2011-09-28 19:10:00,2011-09-29 04:40:00,short,1631.5,1605.0508282377004,11.162476464132434,True,stop,0.42203500980863756
2011-09-29 03:35:00,2011-09-29 04:40:00,short,1585.68,1605.4088798763173,-8.190821891559528,False,stop,0.41516912986995647
2011-09-30 09:35:00,2011-09-30 15:35:00,long,1629.66,1616.319976480389,-6.977319308925634,False,stop,0.5230365072946311
2011-09-30 05:20:00,2011-09-30 19:25:00,short,1632.82,1627.7009502149358,2.5133995332291597,True,stop,0.4909894685069311
2011-09-30 17:55:00,2011-10-03 04:05:00,short,1609.08,1632.020035443619,-11.62312319429549,False,stop,0.5066741602410443
2011-10-03 04:25:00,2011-10-03 17:40:00,long,1634.51,1647.4517944089985,7.890759503855068,True,stop,0.6097113935273608
2011-09-30 19:25:00,2011-10-03 17:45:00,long,1628.31,1644.379964556381,8.14622052103593,True,stop,0.5069221212315114
2011-10-04 01:05:00,2011-10-04 10:55:00,long,1663.21,1662.163888204774,-0.6718255203194556,False,stop,0.6422119733142246
2011-10-04 02:05:00,2011-10-04 10:55:00,long,1663.01,1662.163888204774,-0.5433831256565815,False,stop,0.6422119733142246
2011-10-04 11:20:00,2011-10-04 14:15:00,long,1667.4,1658.9644049182523,-5.760301228798332,False,stop,0.6828565350726663
2011-10-04 13:00:00,2011-10-04 14:35:00,long,1668.96,1655.226350929152,-8.338948883362894,False,stop,0.6071910560947484
2011-10-04 16:40:00,2011-10-04 22:50:00,short,1643.33,1613.3970291947348,15.461541600545635,True,stop,0.5165388260702146
2011-10-04 17:40:00,2011-10-04 22:50:00,short,1636.2,1613.3970291947348,11.778619770665065,True,stop,0.5165388260702146
2011-10-05 11:40:00,2011-10-05 14:10:00,short,1608.15,1615.3722798781398,-3.8496085625619174,False,stop,0.5330184688928842
2011-10-05 12:20:00,2011-10-05 15:20:00,short,1598.18,1617.3079758943877,-9.616262283472679,False,stop,0.5027328733875179
2011-10-05 19:05:00,2011-10-06 16:50:00,long,1628.29,1634.0897542248638,2.7155888206547667,True,stop,0.4682248101157304
2011-10-05 19:45:00,2011-10-06 16:50:00,long,1638.58,1634.0897542248638,-2.1024444754360823,False,stop,0.4682248101157304
2011-10-06 17:10:00,2011-10-07 05:15:00,short,1642.58,1655.2733505219985,-7.5474325209650335,False,stop,0.594597345112682
2011-10-06 18:10:00,2011-10-07 05:15:00,short,1643.18,1656.0433505219985,-7.648514069634097,False,stop,0.594597345112682
2011-10-07 06:40:00,2011-10-07 11:45:00,long,1665.51,1650.7992032305688,-10.19507013687039,False,stop,0.6930331712593273
2011-10-07 06:45:00,2011-10-07 12:15:00,long,1663.95,1649.9192032305687,-9.72380758041416,False,stop,0.6930331712593273
2011-10-07 15:35:00,2011-10-07 19:15:00,long,1662.6,1645.320761537627,-12.104880565796076,False,stop,0.7005447949662581
2011-10-07 19:50:00,2011-10-10 01:25:00,short,1635.06,1642.2010733340567,-4.438708911525993,False,stop,0.6215744754163496
2011-10-07 19:55:00,2011-10-10 01:25:00,short,1632.76,1642.2010733340567,-5.868330204983569,False,stop,0.6215744754163496
2011-10-10 11:10:00,2011-10-10 17:00:00,long,1661.09,1656.8577806322176,-3.2112984805110263,False,stop,0.7587741091487211
2011-10-10 02:00:00,2011-10-11 09:30:00,long,1639.8,1670.51274936242,20.76738386152559,True,stop,0.6761812046347261
2011-10-10 17:30:00,2011-10-11 09:30:00,long,1665.87,1671.6689552304213,4.289707937424509,True,stop,0.739738067802397
2011-10-11 10:10:00,2011-10-11 11:30:00,long,1676.05,1663.8685011029345,-8.887820362222675,False,stop,0.7296163171154378
2011-10-11 11:00:00,2011-10-11 17:10:00,short,1670.8,1668.6714988970655,1.5529891356992018,True,stop,0.7296163171154378
2011-10-11 11:50:00,2011-10-12 09:30:00,short,1656.23,1669.8414988970655,-9.913885238772577,False,stop,0.7283463278911838
2011-10-12 09:50:00,2011-10-12 16:30:00,long,1674.09,1680.6687086771933,5.755241744670733,True,stop,0.8748284849004798
2011-10-11 17:10:00,2011-10-12 16:35:00,long,1668.1,1679.478456383982,8.944145211787848,True,stop,0.7860596297032842
2011-10-12 16:55:00,2011-10-12 19:00:00,long,1682.32,1672.0216878508697,-8.774767870454928,False,stop,0.8520588367673484
2011-10-12 20:00:00,2011-10-13 08:35:00,long,1681.4,1673.5647961374202,-7.1142895206713295,False,stop,0.9079903529566656
2011-10-12 19:35:00,2011-10-13 08:40:00,long,1678.13,1672.8916878508696,-4.455676122569005,False,stop,0.850593854608037
2011-10-13 09:15:00,2011-10-13 13:40:00,long,1673.78,1669.7315197374555,-4.03879972588023,False,stop,0.9976088467680634
2011-10-13 10:15:00,2011-10-13 13:40:00,long,1673.73,1669.7315197374555,-3.988919283541872,False,stop,0.9976088467680634
2011-10-13 14:15:00,2011-10-13 20:25:00,short,1666.75,1664.8434828942054,1.81768629334522,True,stop,0.9534067582297673
2011-10-13 14:20:00,2011-10-13 20:25:00,short,1669.53,1664.8434828942054,4.468157081223947,True,stop,0.9534067582297673
2011-10-13 20:25:00,2011-10-14 09:05:00,short,1666.95,1671.094482707203,-3.9309337297005453,False,stop,0.9484739127680979
2011-10-13 21:00:00,2011-10-14 17:25:00,long,1663.53,1673.8255172927968,9.765029570670624,True,stop,0.9484739127680979
2011-10-14 10:05:00,2011-10-14 17:25:00,long,1674.91,1674.4844093310444,-0.43332636859367696,False,stop,1.0181763844986695
2011-10-14 19:00:00,2011-10-17 13:50:00,long,1673.9,1684.639960786429,10.266865811382791,True,stop,0.9559500277092418
