trade_id,direction,entry_time,entry_price,exit_time,exit_price,stop_loss,target1,target2,position_size,realised_pnl,fees_paid,exit_reason,partial_done
1,long,2026-03-17 07:55:00+00:00,5024.0,2026-03-17 08:09:00+00:00,5024.0,5024.0,5027.89688808302,5031.79377616604,12.830750828556939,15.973613097226192,9.026386902773808,stop_loss,True
2,long,2026-03-20 08:57:00+00:00,4692.2998046875,2026-03-20 09:33:00+00:00,4682.5184522378895,4682.5184522378895,4702.0811571371105,4711.862509586721,5.117626292591322,-53.41568362122266,3.358377147993456,stop_loss,False
3,short,2026-03-20 15:03:00+00:00,4573.39990234375,2026-03-20 15:23:00+00:00,4573.39990234375,4573.39990234375,4559.975547585686,4546.551192827623,3.7083214984557866,22.518304834884,2.372606841228241,stop_loss,True
4,short,2026-03-23 11:03:00+00:00,4290.2998046875,2026-03-23 11:05:00+00:00,4301.335895019005,4301.335895019005,4279.263714355995,4268.22762402449,4.520484837005055,-52.60716412677791,2.71868512339162,stop_loss,False
5,long,2026-03-25 10:36:00+00:00,4552.5,2026-03-25 10:40:00+00:00,4552.5,4552.5,4556.823252265393,4561.146504530787,11.477159359312193,17.49262342962423,7.31670417058964,stop_loss,True
