period,trades,pnl,end_equity,max_dd_amount,max_dd_pct
2021,183,4393.983306613365,14393.983306613361,739.5967091322709,-7.338521982228574
2022,229,38177.41951005292,52571.40281666629,1559.787409028053,-3.9842583334090964
2023,294,56419.16045060354,108990.56326726981,3744.5127620534768,-4.28974701590562
2024,257,101622.08540847032,210612.64867574006,4392.309531492385,-3.0362928002233724
2025,280,72630.23320266341,283242.8818784035,6284.743220541044,-2.34065283728081
2026,95,29130.323974166942,312373.2058525705,5307.641541464429,-1.8319751045167365
