period,trades,pnl,end_equity,max_dd_amount,max_dd_pct
2021,300,5893.336348493887,15893.336348493885,1876.3498548655862,-18.5222490884668
2022,399,80748.91978882442,96642.25613731827,4136.065636044936,-4.953364934966109
2023,500,233032.73875873818,329674.9948960566,20826.75933937577,-7.770780724857495
2024,438,1019149.1350868847,1348824.12998294,53108.099489771295,-5.29605972822883
2025,450,2526447.3621998765,3875271.4921828164,185011.37495580036,-5.98885906605191
