entry_ts,exit_ts,dir,entry,exit,entry_price,exit_price,entry_signal_price,exit_signal_price,stop_price,stop_price_initial,stop_price_exit,initial_risk_price,r_value,fees,pnl,win,exit_reason,qty,be_triggered,confidence_mult,regime,_week
2025-01-06 13:10:00,2025-01-06 15:25:00,short,157.641176025,156.24901366290794,157.641176025,156.24901366290794,157.653,156.237295865718,156.78400141342976,158.7420031802169,156.78400141342976,1.1008271552169049,1.2646511811545404,0.0,66.39418701061336,True,tp,47.69141072801342,True,1.5,bear,2025-01-06/2025-01-12
2025-01-06 15:40:00,2025-01-07 02:25:00,long,156.678750025,158.07084793147192,156.678750025,158.07084793147192,156.667,158.08270413428198,157.65399858657025,155.5779968197831,157.65399858657025,1.100753205216904,1.264677586105783,0.0,22.42574309741134,True,tp,16.109314577051787,True,1.0,bear,2025-01-06/2025-01-12
2025-01-06 16:05:00,2025-01-07 03:30:00,long,156.736754375,158.31197329447568,156.736754375,158.31197329447568,156.725,158.3238475830444,157.7963854416942,155.495117243812,157.7963854416942,1.241637131188014,1.268662864462248,0.0,33.74461734938578,True,tp,21.422176265263488,True,1.5,bear,2025-01-06/2025-01-12
2025-01-06 16:25:00,2025-01-07 07:35:00,long,157.18678812500002,157.8245477127861,157.18678812500002,157.8245477127861,157.175,157.83638544169423,157.83638544169423,155.945117243812,157.83638544169423,1.2416708811880142,0.5136301393940178,0.0,9.107884633747561,True,stop,14.281062657739902,True,1.0,bear,2025-01-06/2025-01-12
2025-01-09 12:00:00,2025-01-09 17:40:00,short,158.053145125,157.94418148998747,158.053145125,157.94418148998747,158.065,157.93233656474513,157.93233656474513,158.82175727067656,157.93233656474513,0.7686121456765704,0.14176673583085203,0.0,3.8193773627663496,True,stop,35.05185342181073,False,1.5,bull,2025-01-06/2025-01-12
2025-01-09 12:20:00,2025-01-09 17:40:00,short,157.981150525,157.94418148998747,157.981150525,157.94418148998747,157.993,157.93233656474513,157.93233656474513,158.74975727067655,157.93233656474513,0.76860674567655,0.04809876470703004,0.0,0.8638948670264683,True,stop,23.368066457066274,False,1.0,bull,2025-01-06/2025-01-12
2025-01-09 12:40:00,2025-01-09 17:40:00,short,158.06414429999998,157.94418148998747,158.06414429999998,157.94418148998747,158.076,157.93233656474513,157.93233656474513,158.83275727067655,157.93233656474513,0.7686129706765712,0.15607700440822958,0.0,2.803276212817787,True,stop,23.367877198987447,False,1.0,bull,2025-01-06/2025-01-12
2025-01-10 10:20:00,2025-01-10 10:35:00,short,158.3601221,158.17639521968144,158.3601221,158.17639521968144,158.372,158.16453287971547,158.16453287971547,159.14044897935977,158.16453287971547,0.7803268793597624,0.23544861157328925,0.0,6.352541194760652,True,stop,34.57600316157139,False,1.5,bull,2025-01-06/2025-01-12
2025-01-10 10:40:00,2025-01-10 12:40:00,short,157.851160275,157.99738179468144,157.851160275,157.99738179468144,157.863,157.98553287971546,157.98553287971546,158.63144897935976,157.98553287971546,0.780288704359748,-0.18739412587218238,0.0,-3.374835218228463,False,stop,23.080290955675256,False,1.0,bull,2025-01-06/2025-01-12
2025-01-10 11:00:00,2025-01-10 13:00:00,short,157.77016635,157.99738179468144,157.77016635,157.99738179468144,157.782,157.98553287971546,157.98553287971546,158.55044897935977,157.98553287971546,0.7802826293597604,-0.2911963385214271,0.0,-5.244239402315076,False,stop,23.0804706505217,False,1.0,bull,2025-01-06/2025-01-12
